model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h3,1.0236,2.6022,0.2649,0.6975,3.4223,9.0315,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,0.7347,2.1014,2.0226,0.0355,0.1016,0.0977,0.0661,0.0038,marginal,17.5
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h5,0.1046,0.7577,0.0216,0.166,0.4246,3.1442,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,0.1121,0.9354,1.0071,0.0054,0.0452,0.0487,0.0398,-0.0035,spectral1,18.8
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,0.0,0.0,0.0014,0.0,0.0,0.0001,0.0,-0.0001,identity,9.5
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,argmin,23.7129,21.1461,8.5538,6.9305,59.256,57.6019,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,4.8546,7.6692,8.0219,0.2369,0.3742,0.3915,0.1373,-0.0172,spectral2,9.5
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.9913,13.9201,3.4729,4.1418,29.9622,40.8051,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,3.7678,7.0895,7.525,0.1839,0.346,0.3672,0.1621,-0.0212,spectral2,9.0
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h3,1.2,5.1594,0.278,1.24,3.9978,17.8711,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,0.7781,4.4768,4.7384,0.038,0.2185,0.2312,0.1805,-0.0128,spectral2,7.7
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h5,0.13,2.1011,0.023,0.4263,0.5096,8.8013,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,0.117,2.7899,3.0391,0.0057,0.1361,0.1483,0.1304,-0.0122,spectral2,7.7
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.9
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,argmin,19.8963,19.2944,7.8082,6.6866,49.6582,51.6724,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,4.2537,6.358,5.769,0.2149,0.3212,0.2915,0.1063,0.0298,spectral1,2.8
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.6208,13.076,3.0102,4.2562,23.6206,37.3657,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,3.2189,5.8091,5.2548,0.1626,0.2935,0.2655,0.1309,0.028,spectral1,2.8
