model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share
llama-3.1-8b,"layers.20.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5679,0.5586,0.0086,0.0003,0.9911
llama-3.1-8b,"layers.20.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5651,0.5598,0.0261,0.0004,0.9736
llama-3.1-8b,"layers.20.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5623,0.5524,0.0084,0.0004,0.9912
llama-3.1-8b,"layers.20.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5622,0.5519,0.0103,0.0008,0.9889
llama-3.1-8b,"layers.21.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5597,0.554,0.01,0.0024,0.9876
llama-3.1-8b,"layers.21.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5523,0.5685,0.0131,0.0119,0.975
llama-3.1-8b,"layers.21.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5443,0.5606,0.0103,0.0066,0.9831
llama-3.1-8b,"layers.21.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5671,0.5579,0.0054,0.0007,0.9939
llama-3.1-8b,"layers.21.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5656,0.5635,0.0408,0.0005,0.9587
llama-3.1-8b,"layers.21.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5631,0.5553,0.0102,0.0006,0.9893
llama-3.1-8b,"layers.21.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.562,0.5531,0.0088,0.001,0.9902
llama-3.1-8b,"layers.22.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5571,0.5526,0.0097,0.0031,0.9872
llama-3.1-8b,"layers.22.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5468,0.5887,0.0266,0.013,0.9605
llama-3.1-8b,"layers.22.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.542,0.5567,0.0084,0.0059,0.9857
llama-3.1-8b,"layers.22.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5671,0.5567,0.0067,0.0007,0.9926
llama-3.1-8b,"layers.22.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5658,0.5611,0.0298,0.0003,0.9698
llama-3.1-8b,"layers.22.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5659,0.5565,0.0077,0.0004,0.9919
llama-3.1-8b,"layers.22.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5642,0.5511,0.0068,0.0007,0.9925
llama-3.1-8b,"layers.23.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5565,0.5628,0.0194,0.0053,0.9753
llama-3.1-8b,"layers.23.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5427,0.5989,0.0283,0.0165,0.9552
llama-3.1-8b,"layers.23.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5492,0.5533,0.0088,0.0047,0.9864
llama-3.1-8b,"layers.23.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5683,0.5584,0.0063,0.0005,0.9932
llama-3.1-8b,"layers.23.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5673,0.5619,0.024,0.0003,0.9757
llama-3.1-8b,"layers.23.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5656,0.557,0.011,0.0004,0.9886
llama-3.1-8b,"layers.23.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5647,0.5501,0.004,0.0006,0.9954
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757
llama-3.1-8b,"layers.24.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5343,0.6183,0.0411,0.0195,0.9394
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992
llama-3.1-8b,"layers.24.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5652,0.56,0.0188,0.0004,0.9809
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945
llama-3.1-8b,"layers.25.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5491,0.5705,0.0237,0.006,0.9703
llama-3.1-8b,"layers.25.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5362,0.6094,0.0428,0.0156,0.9416
llama-3.1-8b,"layers.25.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5432,0.5747,0.0169,0.008,0.9751
llama-3.1-8b,"layers.25.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5679,0.5582,0.0054,0.0005,0.9941
llama-3.1-8b,"layers.25.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5655,0.5603,0.0212,0.0005,0.9784
llama-3.1-8b,"layers.25.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.563,0.5552,0.0091,0.0005,0.9903
llama-3.1-8b,"layers.25.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5656,0.5513,0.0031,0.0006,0.9963
llama-3.1-8b,"layers.26.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5515,0.5734,0.0208,0.0074,0.9719
llama-3.1-8b,"layers.26.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5322,0.619,0.045,0.0217,0.9333
llama-3.1-8b,"layers.26.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.541,0.5661,0.0189,0.0045,0.9766
llama-3.1-8b,"layers.26.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5676,0.5563,0.0046,0.0007,0.9947
llama-3.1-8b,"layers.26.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.565,0.5604,0.0247,0.0005,0.9748
