model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5668,0.5588,0.2887,0.4116,0.4124,0.1229,-0.0009,spectral2,10.7
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5668,0.5588,0.2322,0.3812,0.3799,0.149,0.0013,spectral2,9.9
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5668,0.5588,0.2003,0.3134,0.3178,0.1131,-0.0044,marginal,6.8
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5668,0.5588,0.065,0.2561,0.2648,0.1911,-0.0087,marginal,7.4
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5569,0.5491,0.2422,0.3814,0.3785,0.1392,0.003,marginal,34.1
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5569,0.5491,0.1852,0.3478,0.3453,0.1626,0.0025,marginal,34.3
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5569,0.5491,0.1334,0.2852,0.281,0.1518,0.0042,marginal,16.9
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5569,0.5491,0.0228,0.199,0.1923,0.1763,0.0067,marginal,19.8
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5563,0.5527,0.2419,0.2991,0.2871,0.0572,0.012,marginal,23.8
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5563,0.5527,0.1858,0.2559,0.2438,0.0701,0.0121,marginal,22.8
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5563,0.5527,0.1289,0.2196,0.1996,0.0907,0.02,marginal,19.8
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5563,0.5527,0.0212,0.1376,0.1283,0.1163,0.0093,marginal,18.9
llama-3.1-8b,"layers.20.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5597,0.5521,0.2501,0.3842,0.4008,0.1341,-0.0167,spectral2,11.3
llama-3.1-8b,"layers.20.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5597,0.5521,0.1951,0.3589,0.3715,0.1638,-0.0126,spectral2,10.8
llama-3.1-8b,"layers.20.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5597,0.5521,0.1401,0.2785,0.2903,0.1384,-0.0118,marginal,6.2
llama-3.1-8b,"layers.20.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5597,0.5521,0.0317,0.2191,0.2306,0.1874,-0.0115,marginal,7.7
llama-3.1-8b,"layers.20.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.5406,0.5583,0.2032,0.3155,0.3131,0.1123,0.0024,spectral2,3.4
llama-3.1-8b,"layers.20.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.5406,0.5583,0.1516,0.2892,0.2826,0.1376,0.0065,spectral2,3.1
llama-3.1-8b,"layers.20.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.5406,0.5583,0.0944,0.2147,0.1948,0.1203,0.0199,spectral2,1.8
llama-3.1-8b,"layers.20.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.5406,0.5583,0.0165,0.1613,0.1443,0.1448,0.0169,spectral2,2.2
llama-3.1-8b,"layers.20.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5679,0.5586,0.2839,0.4083,0.4076,0.1244,0.0007,spectral2,11.0
llama-3.1-8b,"layers.20.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5679,0.5586,0.2273,0.3764,0.3774,0.1491,-0.0011,spectral2,10.4
llama-3.1-8b,"layers.20.self_attn.o_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5679,0.5586,0.1936,0.3101,0.3123,0.1165,-0.0022,marginal,6.6
llama-3.1-8b,"layers.20.self_attn.o_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5679,0.5586,0.0572,0.2531,0.2568,0.1959,-0.0037,marginal,7.2
llama-3.1-8b,"layers.20.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5623,0.5524,0.2601,0.3931,0.3923,0.133,0.0008,marginal,31.3
llama-3.1-8b,"layers.20.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5623,0.5524,0.2028,0.3589,0.3582,0.1561,0.0007,marginal,33.3
llama-3.1-8b,"layers.20.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5623,0.5524,0.1601,0.2999,0.2981,0.1398,0.0018,marginal,16.8
llama-3.1-8b,"layers.20.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5623,0.5524,0.0349,0.2193,0.2202,0.1844,-0.0009,marginal,20.2
llama-3.1-8b,"layers.20.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5622,0.5519,0.2633,0.312,0.307,0.0487,0.005,marginal,28.4
llama-3.1-8b,"layers.20.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5622,0.5519,0.2057,0.2686,0.2621,0.0629,0.0065,marginal,25.7
llama-3.1-8b,"layers.20.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5622,0.5519,0.1637,0.2345,0.2261,0.0708,0.0083,marginal,18.0
llama-3.1-8b,"layers.20.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5622,0.5519,0.0382,0.152,0.1481,0.1139,0.0039,marginal,15.6
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5534,0.565,0.2369,0.3702,0.3652,0.1334,0.005,marginal,9.9
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5534,0.565,0.1839,0.3423,0.3398,0.1584,0.0025,marginal,9.9
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5534,0.565,0.1205,0.2693,0.2543,0.1488,0.015,marginal,5.9
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5534,0.565,0.0262,0.1993,0.1861,0.1731,0.0131,marginal,7.1
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.539,0.5716,0.1974,0.3114,0.2954,0.114,0.0161,marginal,2.9
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.539,0.5716,0.1485,0.2804,0.2681,0.1318,0.0122,spectral1,2.9
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.539,0.5716,0.099,0.2113,0.1822,0.1122,0.0291,marginal,1.8
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.539,0.5716,0.0202,0.1573,0.1286,0.1371,0.0287,marginal,2.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5669,0.5563,0.2767,0.3953,0.3973,0.1186,-0.002,spectral2,10.6
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5669,0.5563,0.2191,0.3632,0.3646,0.144,-0.0014,spectral2,10.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5669,0.5563,0.1876,0.3023,0.3018,0.1147,0.0005,spectral2,6.2
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5669,0.5563,0.0541,0.2398,0.2429,0.1857,-0.003,marginal,7.5
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5646,0.5554,0.2675,0.401,0.3983,0.1335,0.0027,spectral2,33.5
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5646,0.5554,0.2095,0.3661,0.3645,0.1567,0.0017,spectral2,33.7
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5646,0.5554,0.173,0.3061,0.3042,0.1331,0.0019,spectral2,18.4
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5646,0.5554,0.0435,0.2323,0.2285,0.1888,0.0038,marginal,19.8
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5665,0.5519,0.2748,0.3204,0.3187,0.0456,0.0017,marginal,26.1
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5665,0.5519,0.2171,0.2762,0.2741,0.0591,0.0021,marginal,23.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5665,0.5519,0.183,0.2449,0.2416,0.0619,0.0033,marginal,19.8
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5665,0.5519,0.0479,0.1617,0.1554,0.1138,0.0062,marginal,16.7
llama-3.1-8b,"layers.28.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5536,0.5626,0.2374,0.3665,0.3657,0.1291,0.0008,marginal,11.8
llama-3.1-8b,"layers.28.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5536,0.5626,0.1853,0.3411,0.3364,0.1558,0.0048,marginal,11.2
llama-3.1-8b,"layers.28.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5536,0.5626,0.122,0.268,0.2511,0.146,0.0169,marginal,6.1
llama-3.1-8b,"layers.28.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5536,0.5626,0.0253,0.1989,0.1818,0.1735,0.0171,marginal,7.6
llama-3.1-8b,"layers.28.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.5421,0.5608,0.2016,0.3109,0.3013,0.1093,0.0096,spectral1,3.3
llama-3.1-8b,"layers.28.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.5421,0.5608,0.1492,0.2747,0.2659,0.1255,0.0088,spectral2,3.0
llama-3.1-8b,"layers.28.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.5421,0.5608,0.09,0.2048,0.1876,0.1148,0.0172,spectral2,1.8
llama-3.1-8b,"layers.28.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.5421,0.5608,0.0117,0.1512,0.1375,0.1395,0.0137,spectral2,2.2
llama-3.1-8b,"layers.28.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5649,0.5571,0.2818,0.4021,0.4045,0.1203,-0.0024,marginal,11.4
