model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,purity_count_ct,purity_mass_ct,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,v0.6,0.58441,0.5883,0.6104,0.61676,0.58537,0.61492,8.3234,9.3686,3.3713,3.7149,24.9268,28.0914,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,2.963,3.6268,3.3266,0.1444,0.1768,0.1621,0.0324,0.0146,spectral1,10.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,v0.7,0.58441,0.58593,0.6104,0.61346,0.58435,0.61151,1.1531,1.7376,0.4941,0.7328,4.4281,6.7139,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,0.7522,1.3173,1.1834,0.0367,0.0642,0.0577,0.0275,0.0065,marginal,6.1
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,v0.75,0.58441,0.58532,0.6104,0.61171,0.58315,0.61004,0.1299,0.415,0.0563,0.1796,0.6409,2.0264,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,0.1344,0.5329,0.4264,0.0066,0.026,0.0208,0.0194,0.0052,marginal,7.7
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.58027,0.58638,0.61403,0.62961,0.5825,0.62269,8.2813,10.9219,2.8063,3.6718,22.6074,29.9805,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,2.9376,4.083,3.6215,0.1485,0.2064,0.1831,0.0579,0.0233,spectral1,2.4
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h2,0.58027,0.58526,0.61403,0.62576,0.58162,0.61739,3.5439,5.7747,1.0899,1.7999,10.4614,17.1875,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,1.7313,3.0289,2.5762,0.0875,0.1531,0.1303,0.0656,0.0229,marginal,1.8
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h3,0.58027,0.58282,0.61403,0.62154,0.5796,0.61249,0.6947,2.1271,0.1725,0.5907,2.356,7.2876,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,0.5052,1.6899,1.4618,0.0255,0.0854,0.0739,0.0599,0.0115,marginal,2.2
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,v0.6,0.58027,0.58811,0.61403,0.6278,0.58477,0.61843,6.7612,8.9462,2.7899,3.4426,20.2759,26.8799,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,2.3301,3.5526,3.0648,0.1178,0.1796,0.155,0.0618,0.0247,marginal,2.2
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,v0.7,0.58027,0.58442,0.61403,0.62062,0.58143,0.61199,0.9499,2.0435,0.4047,0.794,3.6377,7.8979,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,0.5905,1.611,1.3944,0.0299,0.0814,0.0705,0.0516,0.0109,marginal,2.0
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,v0.75,0.58027,0.5816,0.61403,0.617,0.57955,0.60829,0.1343,0.6275,0.0595,0.2559,0.647,3.0762,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,0.1377,0.8094,0.7205,0.007,0.0409,0.0364,0.034,0.0045,marginal,2.2
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58908,0.59144,0.60444,0.6135,0.59154,0.61332,12.7265,14.2037,4.2358,4.6838,34.9976,39.0289,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,4.6686,5.3051,5.3075,0.2191,0.249,0.2491,0.0299,-0.0001,spectral1,11.8
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h2,0.58908,0.59107,0.60444,0.61142,0.59089,0.61163,5.7837,7.242,1.7348,2.182,17.1387,21.4691,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,2.8913,3.6644,3.7098,0.1357,0.172,0.1741,0.0363,-0.0021,spectral1,8.6
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h3,0.58908,0.59032,0.60444,0.6091,0.59007,0.60891,1.4057,2.3458,0.3573,0.6061,4.7089,7.8796,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,1.013,1.7481,1.6931,0.0475,0.082,0.0795,0.0345,0.0026,spectral2,9.2
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,v0.6,0.58908,0.59265,0.60444,0.61093,0.59174,0.61058,10.0852,11.0735,3.9622,4.2434,30.3101,33.3221,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,3.6845,4.3111,4.2966,0.1729,0.2023,0.2016,0.0294,0.0007,spectral1,11.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,v0.7,0.58908,0.59069,0.60444,0.60766,0.59089,0.60837,1.4707,2.1975,0.5997,0.851,5.6519,8.4778,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,0.9727,1.5778,1.5842,0.0457,0.0741,0.0744,0.0284,-0.0003,marginal,8.9
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,v0.75,0.58908,0.58981,0.60444,0.60668,0.58978,0.60718,0.1875,0.5073,0.0767,0.1877,0.9125,2.4933,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,0.1943,0.5896,0.5831,0.0091,0.0277,0.0274,0.0186,0.0003,marginal,7.9
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58798,0.5893,0.60294,0.60742,0.58923,0.60704,12.1408,12.8813,4.0706,4.3106,33.4429,35.5565,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,4.4466,4.7657,4.7476,0.2095,0.2245,0.2237,0.015,0.0009,marginal,37.8
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h2,0.58798,0.58872,0.60294,0.60602,0.58871,0.60582,5.4465,6.1798,1.6611,1.8815,16.2415,18.4187,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,2.7322,3.1093,3.1109,0.1287,0.1465,0.1465,0.0178,-0.0001,marginal,30.3
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h3,0.58798,0.58876,0.60294,0.60521,0.58841,0.60454,1.2824,1.7022,0.332,0.4457,4.3352,5.8036,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,0.9298,1.26,1.259,0.0438,0.0594,0.0593,0.0156,0.0,marginal,27.4
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,v0.6,0.58798,0.58953,0.60294,0.60611,0.58941,0.60584,9.7142,10.2947,3.8558,4.0268,29.2053,30.9492,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,3.5338,3.8507,3.8444,0.1665,0.1814,0.1811,0.0149,0.0003,marginal,37.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,v0.7,0.58798,0.58884,0.60294,0.60493,0.58866,0.60429,1.4356,1.7853,0.587,0.7058,5.5254,6.8978,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,0.9508,1.2411,1.2237,0.0448,0.0585,0.0576,0.0137,0.0008,marginal,27.6
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,v0.75,0.58798,0.58839,0.60294,0.60383,0.58827,0.60348,0.1798,0.3459,0.0732,0.137,0.8772,1.6933,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,0.1862,0.3806,0.3704,0.0088,0.0179,0.0174,0.0092,0.0005,random0,31.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58897,0.59148,0.60423,0.6124,0.59159,0.61255,12.546,13.8865,4.1864,4.6316,34.5442,38.3815,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,4.6236,5.2146,5.222,0.2171,0.2448,0.2452,0.0277,-0.0003,marginal,18.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h2,0.58897,0.59095,0.60423,0.61038,0.59101,0.61033,5.7268,7.1051,1.7361,2.1638,17.0602,21.2149,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,2.8783,3.6094,3.5983,0.1351,0.1695,0.1689,0.0343,0.0005,marginal,16.5
