model,seed,rule,domain,tiles,accepted,n,baseline_ppl,candidate_ppl,delta_nll,se,relative_ppl_percent,lower_percent,upper_percent,delta_ppl,lower_ppl,upper_ppl,worthwhile_gain_0p01_ppl,supported_gain_0p01_ppl,export_delta_ppl,export_relative_ppl_percent,supported_improvement,supported_harm
qwen3-4b,20260918,c4,wikitext,125,True,128,15.215968675837818,13.246496166015518,-0.1386123700067401,0.00355142007061359,-12.94345796695626,-13.559615842373987,-12.322908041096614,-1.9694725098222996,-2.063226899139568,-1.8750498274855605,True,True,-1.9694725098222996,-12.94345796695626,True,False
qwen3-4b,20260918,c4,c4,125,True,256,17.81870635638335,16.640577712620214,-0.06840467127040029,0.0017704275260007772,-6.6117518309127,-6.941841336813555,-6.280491454198679,-1.1781286437631344,-1.2369463235328437,-1.1191023299614131,True,True,-1.1781286437631344,-6.6117518309127,True,False
qwen3-4b,20260918,c4,math,125,True,128,5.257418519855406,4.803177236467428,-0.09036250738427043,0.008509606849097113,-8.640006148882193,-10.181724774800896,-7.071824129900717,-0.45424128338797853,-0.5352958839510884,-0.37179539149700375,True,True,-0.45424128338797853,-8.640006148882193,True,False
qwen3-4b,20260918,c4,code,125,True,128,9.669665336022605,9.148035574980591,-0.05545453540980816,0.007754176531260593,-5.394496530286068,-6.850353925718094,-3.915885202389887,-0.5216297610420142,-0.6624062989500262,-0.3786529940139335,True,True,-0.5216297610420142,-5.394496530286068,True,False
qwen3-4b,20260918,mixed,wikitext,53,True,128,15.215968675837818,13.695989009456133,-0.10524243023246527,0.003063000315606181,-9.989371684205262,-10.539091339455913,-9.436274109996559,-1.5199796663816851,-1.603624836929548,-1.4358205127432704,True,True,-1.5199796663816851,-9.989371684205262,True,False
qwen3-4b,20260918,mixed,c4,53,True,256,17.81870635638335,17.05230489045612,-0.04396344558335841,0.001368484941565142,-4.301106099392416,-4.5626729762319,-4.038822341294905,-0.7664014659272276,-0.8130092996368188,-0.7196658932513461,True,True,-0.7664014659272276,-4.301106099392416,True,False
qwen3-4b,20260918,mixed,math,53,True,128,5.257418519855406,4.926011041695531,-0.06511058937758207,0.008720390642377436,-6.303616060016269,-7.923586362168105,-4.655144389531645,-0.3314074781598748,-0.4165760968413632,-0.2447404232612466,True,True,-0.3314074781598748,-6.303616060016269,True,False
qwen3-4b,20260918,mixed,code,53,True,128,9.669665336022605,9.43740712613184,-0.024312426801770926,0.007367133355137196,-2.4019260421095487,-3.829419732352684,-0.953243561801792,-0.23225820989076595,-0.37029207243011714,-0.09217546226341511,True,True,-0.23225820989076595,-2.4019260421095487,True,False
qwen3-4b,20260918,consensus,wikitext,143,True,128,15.215968675837818,13.133322571644374,-0.14719273895025253,0.003575342502849948,-13.687239692472417,-14.302233618977537,-13.067832377548788,-2.0826461041934436,-2.1762233874087675,-1.988397281178816,True,True,-2.0826461041934436,-13.687239692472417,True,False
qwen3-4b,20260918,consensus,c4,143,True,256,17.81870635638335,16.629345275476613,-0.06907990202307701,0.00177298294749288,-6.6747891632473095,-7.00513114118327,-6.343273724627702,-1.1893610809067354,-1.2482237479270126,-1.1302893183730311,True,True,-1.1893610809067354,-6.6747891632473095,True,False
qwen3-4b,20260918,consensus,math,143,True,128,5.257418519855406,4.826585168605494,-0.08550091739743948,0.008517858646166764,-8.194769916505752,-9.745491531191862,-6.617404341677909,-0.4308333512499125,-0.5123612766118211,-0.3479046413930901,True,True,-0.4308333512499125,-8.194769916505752,True,False
qwen3-4b,20260918,consensus,code,143,True,128,9.669665336022605,9.316618320604162,-0.03719397867098451,0.007907905976517991,-3.6510779137643086,-5.162927270437861,-2.115127344226541,-0.3530470154184435,-0.49923778859358797,-0.20452573561740933,True,True,-0.3530470154184435,-3.6510779137643086,True,False
llama-3.1-8b-local,20260918,wiki,wikitext,2239,True,123,7.1183388732577955,7.014720823348309,-0.014663478223288931,0.000914782634367386,-1.4556492990065482,-1.635777791816452,-1.2751909477054815,-0.10361804990948631,-0.11644020643498848,-0.09077241293878377,True,True,-0.10361804990948631,-1.4556492990065482,True,False
llama-3.1-8b-local,20260918,wiki,c4,2239,True,256,9.455222525703801,9.411855818963808,-0.0045970851788297296,0.0010701170702647747,-0.4586534756014688,-0.6714674467293021,-0.2453835449910678,-0.04336670673999343,-0.06348874127591715,-0.023201560220365965,True,True,-0.04336670673999343,-0.4586534756014688,True,False
