model,policy,dataset,ppl,baseline_ppl,mean_nll,two_se,ppl_delta,selected_e0m3_type_blocks,selected_fraction,calibration_sequences,reused,report
qwen4b,fixed256_math_code16,c4,21.140364531213166,21.928242974312177,-0.036591215524822474,0.003319508983535456,-0.7878784430990109,256,3.6075036075036075e-05,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math_code16,wiki,17.919890186622222,19.414896584239752,-0.08012935702931391,0.004013852251949301,-1.49500639761753,256,3.6075036075036075e-05,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code32,c4,21.928242974312177,21.928242974312177,0.0,0.0,0.0,0,0.0,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code32,wiki,19.414896584239752,19.414896584239752,0.0,0.0,0.0,0,0.0,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math_code32,c4,20.99646579713534,21.928242974312177,-0.0434213113039732,0.003419976819744983,-0.9317771771768371,256,3.6075036075036075e-05,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math_code32,wiki,17.453014909254385,19.414896584239752,-0.10652822868464744,0.004343933431251427,-1.9618816749853671,256,3.6075036075036075e-05,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code64,c4,21.909816968715816,21.928242974312177,-0.0008406396955251694,0.00015863080383026658,-0.01842600559636054,1,1.4091810966810967e-07,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code64,wiki,19.39705880548864,19.414896584239752,-0.0009191899675212495,0.00011439629518715348,-0.0178377787511117,1,1.4091810966810967e-07,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math_code64,c4,20.991401611198047,21.928242974312177,-0.043662532698363066,0.0031450561509628406,-0.9368413631141301,256,3.6075036075036075e-05,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math_code64,wiki,17.436687204510406,19.414896584239752,-0.10746419001115512,0.004297068876919179,-1.9782093797293463,256,3.6075036075036075e-05,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code128,c4,21.909816968715816,21.928242974312177,-0.0008406396955251694,0.00015863080383026658,-0.01842600559636054,1,1.4091810966810967e-07,128,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code128,wiki,19.39705880548864,19.414896584239752,-0.0009191899675212495,0.00011439629518715348,-0.0178377787511117,1,1.4091810966810967e-07,128,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math_code128,c4,20.94057763026174,21.928242974312177,-0.04608664941042662,0.003575435752672066,-0.9876653440504377,256,3.6075036075036075e-05,128,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math_code128,wiki,17.426626706525052,19.414896584239752,-0.10804132953898547,0.0040740831008478475,-1.9882698777146999,256,3.6075036075036075e-05,128,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,weight_mse,c4,22.08295768216111,21.928242974312177,0.007030725944787264,0.004017004093716896,0.1547147078489317,3407142,0.4801280100108225,0,True,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,weight_mse,wiki,20.108009150440573,19.414896584239752,0.03507756431625314,0.004814112772243789,0.6931125662008206,3407142,0.4801280100108225,0,True,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
llama8b,four_over_six,c4,11.600108653170526,11.600108653170526,0.0,0.0,0.0,0,0.0,0,True,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,four_over_six,wiki,9.09293400629743,9.09293400629743,0.0,0.0,0.0,0,0.0,0,True,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math16,c4,11.615502026080819,11.600108653170526,0.0013261227868497372,0.0027867147867923665,0.015393372910292413,1,7.335956280048077e-08,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math16,wiki,9.084793988070198,9.09293400629743,-0.0008956035400958771,0.0016050232917652842,-0.008140018227232204,1,7.335956280048077e-08,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math16,c4,11.555849942954843,11.600108653170526,-0.0038226674078032374,0.0025764493577364457,-0.04425871021568284,256,1.8780048076923078e-05,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math16,wiki,9.055346473016968,9.09293400629743,-0.004142275304659038,0.001675413764956645,-0.03758753328046183,256,1.8780048076923078e-05,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math32,c4,11.615502026080819,11.600108653170526,0.0013261227868497372,0.0027867147867923665,0.015393372910292413,1,7.335956280048077e-08,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math32,wiki,9.084793988070198,9.09293400629743,-0.0008956035400958771,0.0016050232917652842,-0.008140018227232204,1,7.335956280048077e-08,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math32,c4,11.52578232451162,11.600108653170526,-0.006427997490391135,0.0021924001880241637,-0.07432632865890554,256,1.8780048076923078e-05,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math32,wiki,9.042277427141427,9.09293400629743,-0.005586558622671357,0.001723128890435271,-0.05065657915600319,256,1.8780048076923078e-05,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math64,c4,11.615502026080819,11.600108653170526,0.0013261227868497372,0.0027867147867923665,0.015393372910292413,1,7.335956280048077e-08,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math64,wiki,9.084793988070198,9.09293400629743,-0.0008956035400958771,0.0016050232917652842,-0.008140018227232204,1,7.335956280048077e-08,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math64,c4,11.52612403472615,11.600108653170526,-0.006398350466042757,0.0025052338190341915,-0.07398461844437598,256,1.8780048076923078e-05,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math64,wiki,9.030872124785667,9.09293400629743,-0.006848685496242334,0.001782237195307275,-0.06206188151176306,256,1.8780048076923078e-05,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
