model,domain,bin,endpoint,tiles,sum_ce_mean,mean_combined_election_margin,estimate,ci95_low,ci95_high,relative_ppl_change,p_two_sided_plus_one
mistral7b,wiki,1,group_only_vs_baseline,466,-0.008277371520010537,8.96986234367757e-06,-0.0028848300445406387,-0.0036843629340543534,-0.0020727463670395197,-0.0028806729208403115,9.999000099990002e-05
mistral7b,wiki,2,full_context_marginal,466,-0.0022582375075384433,1.9304350624281198e-06,0.0002351151674859266,-0.0005566085693942446,0.001009852521317594,0.00023514280922320568,0.5523447655234477
mistral7b,wiki,2,group_only_vs_baseline,466,-0.0022582375075384433,1.9304350624281198e-06,-0.0009747464551015012,-0.0018936658279755931,-5.50846412078949e-05,-0.0009742715440941083,0.038396160383961604
mistral7b,wiki,3,full_context_marginal,466,-0.0016348573775910682,1.130212214962677e-06,0.0006825747489282042,5.43032379627184e-05,0.0013792777641184477,0.0006828077560840593,0.043795620437956206
mistral7b,wiki,3,group_only_vs_baseline,466,-0.0016348573775910682,1.130212214962677e-06,-0.0006260222817990262,-0.0014102851989194441,0.00015663191646018184,-0.0006258263707340685,0.11858814118588142
mistral7b,wiki,4,full_context_marginal,466,-0.0011746251390595554,6.829950399748195e-07,-0.00018428355596763303,-0.0009787730047255384,0.0006280048940120415,-0.00018426657679614303,0.6545345465453455
mistral7b,wiki,4,group_only_vs_baseline,466,-0.0011746251390595554,6.829950399748195e-07,-0.0007450829195051636,-0.001658598119502375,0.00013569471796970808,-0.000744805414152473,0.10548945105489452
mistral7b,wiki,5,full_context_marginal,466,-0.0009030924949791294,4.266324189309441e-07,-8.398168518545241e-05,-0.0009463782233772114,0.0007922070263412941,-8.397815882244645e-05,0.8491150884911509
mistral7b,wiki,5,group_only_vs_baseline,466,-0.0009030924949791294,4.266324189309441e-07,-0.0004679298234406432,-0.0013461952681413144,0.000422255295250841,-0.0004678203613550012,0.29717028297170284
mistral7b,wiki,6,full_context_marginal,466,-0.0007725682317188843,2.511053809689029e-07,0.00021246594970039258,-0.0006493494833885856,0.0010759382120851262,0.00021248852218888373,0.6273372662733727
mistral7b,wiki,6,group_only_vs_baseline,466,-0.0007725682317188843,2.511053809689029e-07,-0.0006835537028802871,-0.0015388170464202017,0.000165143809723339,-0.0006833201332700818,0.12038796120387961
mistral7b,wiki,7,full_context_marginal,466,-0.0006749675726590906,1.3615567261731885e-07,0.0005657592031474283,-0.0003444185121675558,0.0014860769003849027,0.0005659192750713661,0.22717728227177283
mistral7b,wiki,7,group_only_vs_baseline,466,-0.0006749675726590906,1.3615567261731885e-07,-0.0006986348975378629,-0.0014578833232692385,-3.616560345588494e-06,-0.0006983909090007774,0.05849415058494151
mistral7b,wiki,8,full_context_marginal,466,-0.0005521314722660288,4.6414558673579863e-08,0.00022914374959745633,-0.00044453281413775095,0.0009594870206781833,0.00022917000503183072,0.5211478852114788
mistral7b,wiki,8,group_only_vs_baseline,466,-0.0005521314722660288,4.6414558673579863e-08,-0.0003733159938577029,-0.0012949822390849973,0.0005532317015932487,-0.00037324632011244543,0.43315668433156684
