model,tensor,rotate_size,identity_norot_pct,identity_rotmin_pct,identity_allrot_pct,identity_rotated_share,spread_norot_pct,spread_rotmin_pct,spread_allrot_pct,spread_rotated_share,sorted_norot_pct,sorted_rotmin_pct,sorted_allrot_pct,sorted_rotated_share,random_norot_pct,random_rotmin_pct,random_allrot_pct,random_rotated_share
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",128,0.0,0.0,-0.1879,0.0,-0.1678,-0.1678,-0.1632,0.0,-0.2533,-0.2533,-0.3072,0.0,0.0184,0.0184,-0.2364,0.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",16,0.0,0.0,0.0611,0.0,0.2459,0.2459,0.0115,0.0,0.0302,0.0302,0.0481,0.0,0.1524,0.1524,-0.018,0.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",64,0.0,0.0,0.0794,0.0,0.0764,0.0764,0.0485,0.0,0.0302,0.0302,0.0796,0.0,0.2085,0.2085,0.0815,0.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",128,0.0,0.0,0.0601,0.0,0.0366,0.0366,-0.0207,0.0,0.0302,0.0302,0.0641,0.0,0.1793,0.1793,-0.0164,0.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.0697,0.0,0.0024,0.0024,-0.0303,0.0,-0.011,-0.011,-0.0528,0.0,-0.0199,-0.0199,-0.0467,0.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.0304,0.0,0.004,0.004,-0.0672,0.0,-0.011,-0.011,-0.0414,0.0,-0.0173,-0.0173,-0.0642,0.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",128,0.0,0.0,-0.0558,0.0,-0.0142,-0.0142,-0.018,0.0,-0.011,-0.011,-0.054,0.0,0.0158,0.0158,-0.0383,0.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",16,0.0,0.0,-0.0168,0.0,0.0259,0.0259,0.0063,0.0,-0.0297,-0.0297,-0.0214,0.0,0.0347,0.0347,-0.0334,0.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",64,0.0,0.0,0.0089,0.0,0.0199,0.0199,-0.0206,0.0,-0.0297,-0.0297,-0.001,0.0,-0.0088,-0.0088,-0.018,0.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",128,0.0,0.0,-0.0037,0.0,0.0143,0.0143,0.0041,0.0,-0.0297,-0.0297,-0.0027,0.0,0.0266,0.0266,-0.0084,0.0
