experiment,model,corpus,policy,required,evaluation,map_sha256
anchor,llama8b,wiki,four_over_six,True,verified_reuse,non-map-baseline
anchor,llama8b,wiki,corruption_p000_anchor,True,verified_reuse,a52e4017abf553633ac672abbdc12c75893cfa7f54ef42ed15d69dfb9103af55
boundary,qwen4b,c4,boundary_part01_rejected_band01,True,new_gpu_full,5581498cb4a484df4b309d3c75e67c7762557041b0e6252af92b3b3765e82e3f
boundary,qwen4b,c4,boundary_part01_rejected_band02,True,new_gpu_full,cc16ccdc75f9d6b0e1a6957b65d466d6a59d73e531862ba8291aaa1250f5b87b
boundary,qwen4b,c4,boundary_part01_rejected_band03,True,new_gpu_full,d8241629e1125fc6b70920d06a88b43310dfcaf3a3d208cabea250791543f89d
boundary,qwen4b,c4,boundary_part01_rejected_band04,True,new_gpu_full,bca0a7e94481edcced8756070b48c44d71e5f5d5461f913de1b1970c7a90e29c
boundary,qwen4b,c4,boundary_part01_selected_band01,True,new_gpu_full,eb0d2393a38646026acef07ccecdf0c3c7c8dfd329a1f10e05e5a885e5c888c0
boundary,qwen4b,c4,boundary_part01_selected_band02,True,new_gpu_full,b350fd25a1332593829e364f56b50a3c0dbe319edba0c074764b2573f5021e23
boundary,qwen4b,c4,boundary_part01_selected_band03,True,new_gpu_full,79caaf299b77f846852ccf35849c6a46e401d34be60ab5fd25514212aaab5437
boundary,qwen4b,c4,boundary_part01_selected_band04,True,new_gpu_full,774c1e370910b318f6b81001c30d5cda4300f86852f66325ac47f6a2169b6398
boundary,qwen4b,c4,boundary_part02_rejected_band01,True,new_gpu_full,23e29c4bd57f9c3f1820af01c0978bb90c58cbfa5a5dfe3734f85faf9965ef21
boundary,qwen4b,c4,boundary_part02_rejected_band02,True,new_gpu_full,9a78f3d4f2e2c7761fc297505f0cde2424c0dc1038ef95d7b0f36f2541599c89
boundary,qwen4b,c4,boundary_part02_rejected_band03,True,new_gpu_full,7d06883c158aa119d927f2de2d825663a8e3c64dc8cb4aeac8097f5f6f0239bd
boundary,qwen4b,c4,boundary_part02_rejected_band04,True,new_gpu_full,7a2a850007b203fb5347b10fbac0ae2d8cb900d27c8687ec07bb2c5a3cf15382
