model,corpus,kind,pool,p,policy,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
qwen4b,c4,near_boundary,1,0.25,corruption_near_pool01_p025,16.200632150499832,0.009433756757643005,0.008221948568813522,0.010661009432278027,0.009478394898960458
qwen4b,c4,near_boundary,1,0.5,corruption_near_pool01_p050,16.476333224920495,0.026308494881867404,0.02475485770079796,0.027822465903654767,0.026657618246087728
qwen4b,c4,near_boundary,1,0.75,corruption_near_pool01_p075,16.70010743176584,0.039798646086724086,0.037711263554889116,0.04187843477755889,0.04060122396761174
qwen4b,c4,near_boundary,1,1.0,corruption_near_pool01_p100,16.939315136735154,0.054020753287322115,0.05161990360566901,0.056378790222070874,0.055506507157592255
qwen4b,c4,near_boundary,2,0.0,corruption_p000_anchor,16.048517959734426,0.0,0.0,0.0,0.0
qwen4b,c4,near_boundary,2,0.1,corruption_near_pool02_p010,16.12557037085038,0.004789727536784411,0.003547034612523611,0.006009839432269887,0.004801216617587715
qwen4b,c4,near_boundary,2,0.25,corruption_near_pool02_p025,16.19977832948509,0.009381052424438197,0.008050463199613707,0.010718737323291398,0.009425192415285678
qwen4b,c4,near_boundary,2,0.5,corruption_near_pool02_p050,16.47672412049754,0.02633221927095409,0.024681118886382237,0.027942250004644557,0.026681975359809488
qwen4b,c4,near_boundary,2,0.75,corruption_near_pool02_p075,16.688143092220635,0.03908196642429677,0.03706643731940327,0.04110812377603297,0.039855713411733634
qwen4b,c4,near_boundary,2,1.0,corruption_near_pool02_p100,16.92227147371298,0.053014086667852615,0.050496118236530635,0.055557337883444906,0.0544444986241586
qwen4b,c4,near_boundary,3,0.0,corruption_p000_anchor,16.048517959734426,0.0,0.0,0.0,0.0
qwen4b,c4,near_boundary,3,0.1,corruption_near_pool03_p010,16.121559206519017,0.004540951015922064,0.0032682954245254504,0.005815775367556646,0.00455127675763279
qwen4b,c4,near_boundary,3,0.25,corruption_near_pool03_p025,16.21389193397847,0.010251895205930396,0.008955020850560862,0.011525668723244804,0.010304625926141479
qwen4b,c4,near_boundary,3,0.5,corruption_near_pool03_p050,16.461400415603574,0.025401765201980744,0.02380973660535239,0.02699045443809429,0.02572713922276585
qwen4b,c4,near_boundary,3,0.75,corruption_near_pool03_p075,16.705624424098094,0.040128948228057994,0.038066856750704654,0.042174060383111674,0.040944993550952255
qwen4b,c4,near_boundary,3,1.0,corruption_near_pool03_p100,16.935901085527536,0.05381918697425057,0.05139303355952612,0.05625662263977652,0.0552937740431565
qwen4b,c4,near_boundary,4,0.0,corruption_p000_anchor,16.048517959734426,0.0,0.0,0.0,0.0
qwen4b,c4,near_boundary,4,0.1,corruption_near_pool04_p010,16.125662102389413,0.00479541609700727,0.003568027316345683,0.006034350027827475,0.004806932506078019
qwen4b,c4,near_boundary,4,0.25,corruption_near_pool04_p025,16.201202345993178,0.009468952017556813,0.008210001566398208,0.010752032229191534,0.00951392437867727
qwen4b,c4,near_boundary,4,0.5,corruption_near_pool04_p050,16.46047433993088,0.025345506214314393,0.023717542744981078,0.026958390560294036,0.02566943447551183
qwen4b,c4,near_boundary,4,0.75,corruption_near_pool04_p075,16.71392599945912,0.04062575775581076,0.03860600080600524,0.04262531234875825,0.0414622734257605
qwen4b,c4,near_boundary,4,1.0,corruption_near_pool04_p100,16.9062618878752,0.052067572855865975,0.049729673160352254,0.054354702272641824,0.05344692452554517
qwen4b,c4,matched_random,1,0.5,corruption_random_pool01_p050,16.622711010695557,0.03515338714031834,0.03332502058392732,0.03695333160489138,0.03577857172866707
qwen4b,c4,matched_random,2,0.5,corruption_random_pool02_p050,16.665791751707207,0.03774171412939908,0.03593836215543799,0.039500696660911855,0.03846297792241709
qwen4b,c4,matched_random,3,0.5,corruption_random_pool03_p050,16.631074347633906,0.03565638774759007,0.0336900969592154,0.037679920313002824,0.03629970003218466
qwen4b,c4,matched_random,4,0.5,corruption_random_pool04_p050,16.63393093532549,0.03582813506428556,0.03389935960295886,0.03768563821264948,0.03647769700977164
qwen4b,wiki,near_boundary,1,0.0,corruption_p000_anchor,12.19677329401866,0.0,0.0,0.0,0.0
qwen4b,wiki,near_boundary,1,0.1,corruption_near_pool01_p010,12.32209680497623,0.010222706172630311,0.006978190048732279,0.013454809376504676,0.010275136541157505
qwen4b,wiki,near_boundary,1,0.25,corruption_near_pool01_p025,12.429126234339565,0.01887117548722646,0.016473617095258155,0.021493098400136135,0.01905036149477851
qwen4b,wiki,near_boundary,1,0.5,corruption_near_pool01_p050,12.878653642382305,0.05439975168124423,0.050161694914347646,0.058916987821609396,0.05590661824451967
qwen4b,wiki,near_boundary,1,0.75,corruption_near_pool01_p075,13.259590135966157,0.08354964181323159,0.07800828794096652,0.08937042323452746,0.0871391815135812
qwen4b,wiki,near_boundary,1,1.0,corruption_near_pool01_p100,13.617095863942204,0.11015461947662131,0.10336405431314019,0.11729474542944264,0.11645068213410904
qwen4b,wiki,near_boundary,2,0.0,corruption_p000_anchor,12.19677329401866,0.0,0.0,0.0,0.0
qwen4b,wiki,near_boundary,2,0.1,corruption_near_pool02_p010,12.322756501601939,0.010276242431713876,0.007167110443075997,0.013375847801316653,0.010329224340429355
qwen4b,wiki,near_boundary,2,0.25,corruption_near_pool02_p025,12.425705053581954,0.018595882467563007,0.015511980710533575,0.021748348293221174,0.018769862655031277
qwen4b,wiki,near_boundary,2,0.5,corruption_near_pool02_p050,12.90629772582248,0.056543955378726876,0.05178032348746718,0.061553344620153876,0.05817312617852573
qwen4b,wiki,near_boundary,2,0.75,corruption_near_pool02_p075,13.26685063781941,0.08409705803815803,0.07889741880609832,0.08966496813037114,0.08773446205854396
qwen4b,wiki,near_boundary,2,1.0,corruption_near_pool02_p100,13.632968751630862,0.11131959942861501,0.10502034094828454,0.11824925150982299,0.11775208270178435
qwen4b,wiki,near_boundary,3,0.0,corruption_p000_anchor,12.19677329401866,0.0,0.0,0.0,0.0
qwen4b,wiki,near_boundary,3,0.1,corruption_near_pool03_p010,12.302351274352738,0.008618971965718989,0.0055888864000054285,0.011701180471918439,0.008656222247392273
qwen4b,wiki,near_boundary,3,0.25,corruption_near_pool03_p025,12.43138210713144,0.019052657922507123,0.015325205664557476,0.022541620257853605,0.019235318018728777
qwen4b,wiki,near_boundary,3,0.5,corruption_near_pool03_p050,12.860390513514988,0.052980652213400835,0.04844065386251043,0.05856005281784302,0.05440924443695297
qwen4b,wiki,near_boundary,3,0.75,corruption_near_pool03_p075,13.24517980689588,0.08246226542617206,0.07782799685702928,0.08774439940848884,0.0859576945151026
qwen4b,wiki,near_boundary,3,1.0,corruption_near_pool03_p100,13.623514851457571,0.11062590022001188,0.10494229794575752,0.11683142803685824,0.11697696784596397
qwen4b,wiki,near_boundary,4,0.0,corruption_p000_anchor,12.19677329401866,0.0,0.0,0.0,0.0
qwen4b,wiki,near_boundary,4,0.1,corruption_near_pool04_p010,12.311939293275218,0.009398033168485169,0.006882902817297324,0.012212523283054692,0.00944233335164516
qwen4b,wiki,near_boundary,4,0.25,corruption_near_pool04_p025,12.454319906440855,0.020896110503649926,0.01744688670208006,0.024350927139448128,0.021115962903770418
qwen4b,wiki,near_boundary,4,0.5,corruption_near_pool04_p050,12.89856781624289,0.05594485054725885,0.051967989619201925,0.06035405849211229,0.057539359411424955
qwen4b,wiki,near_boundary,4,0.75,corruption_near_pool04_p075,13.239339549326935,0.08202123362302284,0.07696835205902736,0.08758538670820841,0.08547885823372263
qwen4b,wiki,near_boundary,4,1.0,corruption_near_pool04_p100,13.587391552910256,0.10797083836863297,0.10229590178468603,0.11427056545356121,0.11401525841048027
qwen4b,wiki,matched_random,1,0.5,corruption_random_pool01_p050,13.096288340715226,0.07115742463067179,0.06638489855919934,0.07657709406209952,0.07375024730005504
qwen4b,wiki,matched_random,2,0.5,corruption_random_pool02_p050,13.116839484370482,0.07272542887671359,0.06827921822583417,0.07782201640274433,0.07543521291840537
qwen4b,wiki,matched_random,3,0.5,corruption_random_pool03_p050,13.104569626957748,0.07178956320632446,0.06738107354605487,0.07635029413238069,0.07442922083206094
qwen4b,wiki,matched_random,4,0.5,corruption_random_pool04_p050,13.109450360405177,0.07216193901943374,0.06768241359770737,0.07727563659542815,0.07482938678823427
mistral7b,c4,near_boundary,1,0.0,corruption_p000_anchor,8.04750641229958,0.0,0.0,0.0,0.0
mistral7b,c4,near_boundary,1,0.1,corruption_near_pool01_p010,8.050226405297266,0.0003379349197043229,-0.0005561433952725956,0.001434948706392752,0.0003379920261418727
mistral7b,c4,near_boundary,1,0.25,corruption_near_pool01_p025,8.053404750843352,0.0007326714305616255,-9.679624875290928e-05,0.0016307073374228433,0.0007329398998367919
mistral7b,c4,near_boundary,1,0.5,corruption_near_pool01_p050,8.055443870264723,0.000985839050449723,-0.00012908248474428403,0.002570517060372772,0.0009863251494917676
mistral7b,c4,near_boundary,1,0.75,corruption_near_pool01_p075,8.063793103700647,0.0020217732198004115,0.0011976866858573155,0.002971154392268198,0.0020238183813285856
mistral7b,c4,near_boundary,1,1.0,corruption_near_pool01_p100,8.064344292660229,0.00209012444303804,0.001400246309394517,0.0028285200617096406,0.0020923102757539063
mistral7b,c4,near_boundary,2,0.0,corruption_p000_anchor,8.04750641229958,0.0,0.0,0.0,0.0
mistral7b,c4,near_boundary,2,0.1,corruption_near_pool02_p010,8.04932516953601,0.00022597704833335932,-0.0005212379380281169,0.0010408573087223527,0.0002260025830699313
mistral7b,c4,near_boundary,2,0.25,corruption_near_pool02_p025,8.049161747906375,0.00020567431671657976,-0.0007352830632059645,0.0012885184963506893,0.00020569546912900264
mistral7b,c4,near_boundary,2,0.5,corruption_near_pool02_p050,8.056152832096855,0.0010738454530030707,0.00032641147250124606,0.0018506499264652504,0.00107442223147004
mistral7b,c4,near_boundary,2,0.75,corruption_near_pool02_p075,8.062255927557485,0.0018311281157396596,0.0011916475338570173,0.0024730801123666684,0.001832805654601046
mistral7b,c4,near_boundary,2,1.0,corruption_near_pool02_p100,8.063687304909724,0.0020086529073596398,0.0011353918111566197,0.0030114497228017805,0.0020106716020034422
mistral7b,c4,near_boundary,3,0.0,corruption_p000_anchor,8.04750641229958,0.0,0.0,0.0,0.0
mistral7b,c4,near_boundary,3,0.1,corruption_near_pool03_p010,8.047657493766833,1.877352329413233e-05,-0.0007359765504563434,0.0008312848032217647,1.8773699517823543e-05
mistral7b,c4,near_boundary,3,0.25,corruption_near_pool03_p025,8.050163780519751,0.0003301556327686628,-0.0004068729881464773,0.001059502152399474,0.00033021014013806055
mistral7b,c4,near_boundary,3,0.5,corruption_near_pool03_p050,8.055719708336936,0.001020080906526749,-3.1180633743747045e-05,0.0024288872940352608,0.001020601366009895
mistral7b,c4,near_boundary,3,0.75,corruption_near_pool03_p075,8.063071140429596,0.0019322377390522452,0.0011115990283373793,0.0028651386703655627,0.0019341057133220624
mistral7b,c4,near_boundary,3,1.0,corruption_near_pool03_p100,8.065259589090997,0.0022036171783159143,0.0013526915876255136,0.0031743742071416465,0.002206046927067772
mistral7b,c4,near_boundary,4,0.0,corruption_p000_anchor,8.04750641229958,0.0,0.0,0.0,0.0
mistral7b,c4,near_boundary,4,0.1,corruption_near_pool04_p010,8.050073326072981,0.0003189192210115506,-0.0004888372817955203,0.0011828012847048585,0.0003189700811529311
mistral7b,c4,near_boundary,4,0.25,corruption_near_pool04_p025,8.053460424511307,0.000739584466383143,-0.00034155168008885643,0.002221433163671685,0.0007398580264106929
mistral7b,c4,near_boundary,4,0.5,corruption_near_pool04_p050,8.0610749418995,0.001684634110294752,0.0006270008862574965,0.0031165576323749548,0.001686053903502953
mistral7b,c4,near_boundary,4,0.75,corruption_near_pool04_p075,8.061592542966787,0.0017488419801100581,0.000970625887349889,0.00253031078102813,0.0017503720960927683
mistral7b,c4,near_boundary,4,1.0,corruption_near_pool04_p100,8.061482780836242,0.0017352264472974268,0.0009576901051510289,0.0025252608665279203,0.0017367328238846182
mistral7b,c4,matched_random,1,0.5,corruption_random_pool01_p050,8.05880455900079,0.0014029467796160449,0.0005954027028723908,0.002214388275939772,0.0014039313698379864
mistral7b,c4,matched_random,2,0.5,corruption_random_pool02_p050,8.05829168628421,0.001339303464600818,0.00047054878879068766,0.0023127516680228727,0.0013402007320123704
mistral7b,c4,matched_random,3,0.5,corruption_random_pool03_p050,8.059231657833898,0.001455943165462513,0.0006018297370477343,0.0024494737668387836,0.0014570035652778843
mistral7b,c4,matched_random,4,0.5,corruption_random_pool04_p050,8.059625032212011,0.0015047523813705355,0.0005066752556467268,0.0027485660203392537,0.001505885089312229
mistral7b,wiki,near_boundary,1,0.0,corruption_p000_anchor,5.50187078542319,0.0,0.0,0.0,0.0
mistral7b,wiki,near_boundary,1,0.1,corruption_near_pool01_p010,5.503580902819513,0.0003107764149123841,-0.00032349603550899347,0.000951425483661391,0.0003108247109053726
mistral7b,wiki,near_boundary,1,0.25,corruption_near_pool01_p025,5.5035462220627664,0.00030447490565305786,-0.0004004729670625286,0.0010270244882931874,0.0003045212628418916
mistral7b,wiki,near_boundary,1,0.5,corruption_near_pool01_p050,5.505390971689502,0.0006396116425672557,-6.171933429485734e-05,0.0012790600420635135,0.0006398162377120632
mistral7b,wiki,near_boundary,1,0.75,corruption_near_pool01_p075,5.511218971018029,0.0016976503500313492,0.0008258265754327467,0.0025489470293911585,0.0016990921741758113
mistral7b,wiki,near_boundary,1,1.0,corruption_near_pool01_p100,5.5173957495198165,0.0028177872492045133,0.0019544160542634484,0.0036611400258255464,0.0028217609431602135
mistral7b,wiki,near_boundary,2,0.0,corruption_p000_anchor,5.50187078542319,0.0,0.0,0.0,0.0
mistral7b,wiki,near_boundary,2,0.1,corruption_near_pool02_p010,5.501590149136044,-5.100873059494887e-05,-0.0009667379846313799,0.0008566901872537701,-5.100742967176999e-05
mistral7b,wiki,near_boundary,2,0.25,corruption_near_pool02_p025,5.50329738462558,0.0002592598656070494,-0.0006165365020677126,0.0011251743483985676,0.00025929347635058285
mistral7b,wiki,near_boundary,2,0.5,corruption_near_pool02_p050,5.506410372557128,0.000824758620554754,6.82845380521886e-05,0.0015757096708539516,0.0008250988274689435
mistral7b,wiki,near_boundary,2,0.75,corruption_near_pool02_p075,5.515235507548733,0.00242617767786222,0.0015488335991120184,0.003261169623910662,0.0024291232285859336
mistral7b,wiki,near_boundary,2,1.0,corruption_near_pool02_p100,5.518642002438416,0.0030436387643802067,0.0021008995691028636,0.0039783195795065765,0.003048275335666907
mistral7b,wiki,near_boundary,3,0.0,corruption_p000_anchor,5.50187078542319,0.0,0.0,0.0,0.0
mistral7b,wiki,near_boundary,3,0.1,corruption_near_pool03_p010,5.49934313971113,-0.00045952124442652184,-0.0012925729899566005,0.0002894410011652372,-0.00045941568070969154
mistral7b,wiki,near_boundary,3,0.25,corruption_near_pool03_p025,5.505126355859281,0.0005915456303348385,-0.0002876888690576269,0.0014169222147895528,0.000591720627955881
mistral7b,wiki,near_boundary,3,0.5,corruption_near_pool03_p050,5.507196293471724,0.0009674767944945078,0.0002920468602686864,0.0016199720424830478,0.0009679449511331722
mistral7b,wiki,near_boundary,3,0.75,corruption_near_pool03_p075,5.5129533386515375,0.0020122984885209373,0.0011371099705675643,0.0028969380444603815,0.0020143245198897537
mistral7b,wiki,near_boundary,3,1.0,corruption_near_pool03_p100,5.517687535539875,0.0028706705872978003,0.0019260347096225633,0.0038489334946729794,0.0028747949076856545
mistral7b,wiki,near_boundary,4,0.0,corruption_p000_anchor,5.50187078542319,0.0,0.0,0.0,0.0
mistral7b,wiki,near_boundary,4,0.1,corruption_near_pool04_p010,5.502316253191641,8.096332189385813e-05,-0.0007387374619298101,0.0008460977573253011,8.09665995120592e-05
mistral7b,wiki,near_boundary,4,0.25,corruption_near_pool04_p025,5.505843533181103,0.0007218115978327353,-2.8388113864170767e-05,0.0015014365727595582,0.000722072166514179
mistral7b,wiki,near_boundary,4,0.5,corruption_near_pool04_p050,5.507177448877078,0.0009640549758607739,0.00014751359644560774,0.0017092591637633406,0.0009645198262274496
mistral7b,wiki,near_boundary,4,0.75,corruption_near_pool04_p075,5.50974273516876,0.0014297543356090437,0.0005769291520366394,0.0023000145350028475,0.0014307769216300012
mistral7b,wiki,near_boundary,4,1.0,corruption_near_pool04_p100,5.517554748649691,0.002846604619959671,0.0020294757916756506,0.00362038382626357,0.0028506600460427335
mistral7b,wiki,matched_random,1,0.5,corruption_random_pool01_p050,5.511190990416436,0.001692573311218839,0.0010376655448883175,0.0024106630696008133,0.0016940065219164249
mistral7b,wiki,matched_random,2,0.5,corruption_random_pool02_p050,5.507488488768927,0.0010205323840170532,0.00020671708010587428,0.001792876035607149,0.0010210533043807624
mistral7b,wiki,matched_random,3,0.5,corruption_random_pool03_p050,5.508539332106069,0.0012113168223672418,0.000440096547656487,0.0020749372899981156,0.00121205076290424
mistral7b,wiki,matched_random,4,0.5,corruption_random_pool04_p050,5.509489286835204,0.0013837532471300497,0.00042481349244930346,0.0023350935996944797,0.0013847110754028988
