model,corpus,partition,side,band,policy,tiles,mean_kappa,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
llama8b,wiki,4,rejected,4,boundary_part04_rejected_band04,370,2.7100122849603974,6.881791924510044,0.0009291416829911829,-0.0007932279297240892,0.002496187186582577,0.0009295734688444417
qwen4b,c4,1,selected,1,boundary_part01_selected_band01,931,4.733961631134314,16.65008674351008,-0.038430032316852145,-0.04048965084884798,-0.03631016686256128,-0.03770096778180405
qwen4b,c4,1,selected,2,boundary_part01_selected_band02,931,3.732311025296426,16.988150958894746,-0.01832935993101581,-0.019822325293669438,-0.01681714832803808,-0.018162398865996604
qwen4b,c4,1,selected,3,boundary_part01_selected_band03,931,3.3212743061305563,17.055738454962267,-0.014358745172911013,-0.01590452724742755,-0.012821721164995657,-0.014256150024309383
qwen4b,c4,1,selected,4,boundary_part01_selected_band04,931,3.0924930432145743,17.09326770929301,-0.012160773773150191,-0.013799623521327464,-0.010604755746658149,-0.01208713038623292
qwen4b,c4,1,rejected,1,boundary_part01_rejected_band01,931,2.9020843610180624,17.17209886126355,-0.007559551084481678,-0.009063570668116803,-0.00608787820314352,-0.0075310495430226405
qwen4b,c4,1,rejected,2,boundary_part01_rejected_band02,931,2.762231856957853,17.166648614308652,-0.007876991142802894,-0.009338545655926692,-0.006412783515790195,-0.007846048945178244
qwen4b,c4,1,rejected,3,boundary_part01_rejected_band03,931,2.6491657560463384,17.195769004049847,-0.006182093127433564,-0.007663056767559132,-0.004708479678472823,-0.006163023307087067
qwen4b,c4,1,rejected,4,boundary_part01_rejected_band04,931,2.557057128439612,17.202740200728993,-0.005776773424005398,-0.007318402027192393,-0.0042669791555975545,-0.005760119951619559
qwen4b,c4,2,selected,1,boundary_part02_selected_band01,931,4.804994529322622,16.627477252140416,-0.039788875461234545,-0.04187058600945311,-0.037698709362918116,-0.03900769320606995
qwen4b,c4,2,selected,2,boundary_part02_selected_band02,931,3.748392031733047,16.984148038885323,-0.01856501781382139,-0.020177819334739566,-0.017012944500279122,-0.018393749375482462
qwen4b,c4,2,selected,3,boundary_part02_selected_band03,931,3.3283859747984104,17.058551522912715,-0.014193824961544437,-0.015783525167395302,-0.012636535003768767,-0.01409356753401726
qwen4b,c4,2,selected,4,boundary_part02_selected_band04,931,3.0929847911119652,17.116301749783027,-0.010814130460463619,-0.012419278456422437,-0.009253234765665868,-0.010755867960210105
qwen4b,c4,2,rejected,1,boundary_part02_rejected_band01,931,2.9020843610180624,17.17209886126355,-0.007559551084481678,-0.00905126344243621,-0.0060545373922508625,-0.0075310495430226405
qwen4b,c4,2,rejected,2,boundary_part02_rejected_band02,931,2.762231856957853,17.166648614308652,-0.007876991142802894,-0.009378650043089068,-0.0063862284911104725,-0.007846048945178244
qwen4b,c4,2,rejected,3,boundary_part02_rejected_band03,931,2.6491657560463384,17.195769004049847,-0.006182093127433564,-0.007686089556047969,-0.004674460836549021,-0.006163023307087067
qwen4b,c4,2,rejected,4,boundary_part02_rejected_band04,931,2.557057128439612,17.202740200728993,-0.005776773424005398,-0.007314730315036861,-0.004255343864651582,-0.005760119951619559
qwen4b,c4,3,selected,1,boundary_part03_selected_band01,931,4.827507406650233,16.634991061588146,-0.03933708640549317,-0.0414887057571239,-0.03720120737660605,-0.038573429308757325
qwen4b,c4,3,selected,2,boundary_part03_selected_band02,931,3.766063850646968,16.9868765582753,-0.018404379774304466,-0.02010599753540079,-0.01679128404463987,-0.018236053406158012
qwen4b,c4,3,selected,3,boundary_part03_selected_band03,931,3.3406002962190913,17.04554221487061,-0.014956742678880275,-0.016617527532966168,-0.013384267688191669,-0.014845446171745087
qwen4b,c4,3,selected,4,boundary_part03_selected_band04,931,3.096996628727982,17.091857261117053,-0.01224329201334785,-0.01383203775951211,-0.010642579310436875,-0.012168647854316806
qwen4b,c4,3,rejected,1,boundary_part03_rejected_band01,931,2.9020843610180624,17.17209886126355,-0.007559551084481678,-0.009074777452313925,-0.00612367834388497,-0.0075310495430226405
qwen4b,c4,3,rejected,2,boundary_part03_rejected_band02,931,2.762231856957853,17.166648614308652,-0.007876991142802894,-0.009386827942069917,-0.006412186523456104,-0.007846048945178244
qwen4b,c4,3,rejected,3,boundary_part03_rejected_band03,931,2.6491657560463384,17.195769004049847,-0.006182093127433564,-0.007697386877338775,-0.004719761149734828,-0.006163023307087067
qwen4b,c4,3,rejected,4,boundary_part03_rejected_band04,931,2.557057128439612,17.202740200728993,-0.005776773424005398,-0.007324580824915062,-0.004258969654426378,-0.005760119951619559
qwen4b,c4,4,selected,1,boundary_part04_selected_band01,931,4.829208840919317,16.621729058865206,-0.04013463970467174,-0.04218437561430576,-0.03812110546083661,-0.03933991254588336
qwen4b,c4,4,selected,2,boundary_part04_selected_band02,931,3.7803779874084658,16.992754269319846,-0.018058424803045675,-0.019791663418223936,-0.01634660444368534,-0.017896348530324072
qwen4b,c4,4,selected,3,boundary_part04_selected_band03,931,3.348374302147844,17.0380216134243,-0.015398046387978547,-0.0170534742477893,-0.013842649656794104,-0.01528010261558005
qwen4b,c4,4,selected,4,boundary_part04_selected_band04,931,3.106323289400558,17.072356666245902,-0.013384872324862428,-0.01488666273163784,-0.011877124067829582,-0.013295693248209561
qwen4b,c4,4,rejected,1,boundary_part04_rejected_band01,931,2.9020843610180624,17.17209886126355,-0.007559551084481678,-0.009050896632203603,-0.006030748250062907,-0.0075310495430226405
qwen4b,c4,4,rejected,2,boundary_part04_rejected_band02,931,2.762231856957853,17.166648614308652,-0.007876991142802894,-0.009385434700891886,-0.006371719163619715,-0.007846048945178244
qwen4b,c4,4,rejected,3,boundary_part04_rejected_band03,931,2.6491657560463384,17.195769004049847,-0.006182093127433564,-0.00769378501850737,-0.004685711006977496,-0.006163023307087067
qwen4b,c4,4,rejected,4,boundary_part04_rejected_band04,931,2.557057128439612,17.202740200728993,-0.005776773424005398,-0.007327935302017175,-0.00429964187867272,-0.005760119951619559
qwen4b,wiki,1,selected,1,boundary_part01_selected_band01,931,4.733961631134314,13.143052959003294,-0.07778604860856185,-0.08288586429508908,-0.07312827713398347,-0.07483765485864623
qwen4b,wiki,1,selected,2,boundary_part01_selected_band02,931,3.732311025296426,13.705463233548071,-0.0358848460305111,-0.0402618636200023,-0.031483890815552244,-0.035248617961932176
qwen4b,wiki,1,selected,3,boundary_part01_selected_band03,931,3.3212743061305563,13.773964956914279,-0.030899162573984368,-0.03515546559095679,-0.02693596531267446,-0.030426662573530147
qwen4b,wiki,1,selected,4,boundary_part01_selected_band04,931,3.0924930432145743,13.894837308768542,-0.022162021036850874,-0.025501924456322603,-0.018657940991868377,-0.021918247606853212
qwen4b,wiki,1,rejected,1,boundary_part01_rejected_band01,931,2.9020843610180624,13.968573297858894,-0.016869333629771322,-0.020208658910335034,-0.013214238315426733,-0.016727843155089985
qwen4b,wiki,1,rejected,2,boundary_part01_rejected_band02,931,2.762231856957853,14.016063167689229,-0.0134753345348729,-0.017047219443204188,-0.009851186710388343,-0.013384948663243261
qwen4b,wiki,1,rejected,3,boundary_part01_rejected_band03,931,2.6491657560463384,14.026037493563965,-0.012763952287454243,-0.01644143681277144,-0.008948814670245882,-0.012682838525951975
qwen4b,wiki,1,rejected,4,boundary_part01_rejected_band04,931,2.557057128439612,14.041203458747841,-0.011683264186644761,-0.015709908050775767,-0.007671462003070516,-0.011615279872754231
qwen4b,wiki,2,selected,1,boundary_part02_selected_band01,931,4.804994529322622,13.066303915368337,-0.08364267938190144,-0.08946148704703995,-0.07811433449547958,-0.08024015345757356
qwen4b,wiki,2,selected,2,boundary_part02_selected_band02,931,3.748392031733047,13.703084444097867,-0.036058426147498074,-0.04019927963000228,-0.03181269823366287,-0.035416065086523514
qwen4b,wiki,2,selected,3,boundary_part02_selected_band03,931,3.3283859747984104,13.79288814695432,-0.029526267892028536,-0.03359935075773031,-0.025330547928840052,-0.02909462633129752
qwen4b,wiki,2,selected,4,boundary_part02_selected_band04,931,3.0929847911119652,13.90831205161218,-0.02119272480900329,-0.024233792675051487,-0.017954786541574657,-0.02096973703413513
qwen4b,wiki,2,rejected,1,boundary_part02_rejected_band01,931,2.9020843610180624,13.968573297858894,-0.016869333629771322,-0.020312396546496768,-0.01326851305137354,-0.016727843155089985
qwen4b,wiki,2,rejected,2,boundary_part02_rejected_band02,931,2.762231856957853,14.016063167689229,-0.0134753345348729,-0.017088479391335197,-0.009907418542731179,-0.013384948663243261
qwen4b,wiki,2,rejected,3,boundary_part02_rejected_band03,931,2.6491657560463384,14.026037493563965,-0.012763952287454243,-0.01650386370091164,-0.008933774468426012,-0.012682838525951975
qwen4b,wiki,2,rejected,4,boundary_part02_rejected_band04,931,2.557057128439612,14.041203458747841,-0.011683264186644761,-0.015581069767878609,-0.007630394738104787,-0.011615279872754231
qwen4b,wiki,3,selected,1,boundary_part03_selected_band01,931,4.827507406650233,13.0772254748488,-0.08280717167727751,-0.08903809346246783,-0.07697413792467937,-0.07947136590014241
qwen4b,wiki,3,selected,2,boundary_part03_selected_band02,931,3.766063850646968,13.716391820083766,-0.0350877747096315,-0.03890537983366808,-0.03170075091556759,-0.03447933575786795
qwen4b,wiki,3,selected,3,boundary_part03_selected_band03,931,3.3406002962190913,13.769344623842413,-0.03123465843018593,-0.0356099850043033,-0.027141462774774167,-0.030751895850261307
qwen4b,wiki,3,selected,4,boundary_part03_selected_band04,931,3.096996628727982,13.890188021061741,-0.022496682437729242,-0.02596170023172537,-0.019097514000985534,-0.02224551905066826
qwen4b,wiki,3,rejected,1,boundary_part03_rejected_band01,931,2.9020843610180624,13.968573297858894,-0.016869333629771322,-0.020166809612014527,-0.013175930724477576,-0.016727843155089985
qwen4b,wiki,3,rejected,2,boundary_part03_rejected_band02,931,2.762231856957853,14.016063167689229,-0.0134753345348729,-0.017118021527844484,-0.00985730239706828,-0.013384948663243261
qwen4b,wiki,3,rejected,3,boundary_part03_rejected_band03,931,2.6491657560463384,14.026037493563965,-0.012763952287454243,-0.016465967522355976,-0.008987870509183407,-0.012682838525951975
qwen4b,wiki,3,rejected,4,boundary_part03_rejected_band04,931,2.557057128439612,14.041203458747841,-0.011683264186644761,-0.01562827590993663,-0.007660016504443146,-0.011615279872754231
qwen4b,wiki,4,selected,1,boundary_part04_selected_band01,931,4.829208840919317,13.08273453736417,-0.08238598887774594,-0.08868830362654773,-0.07664757057211362,-0.07908357341295326
qwen4b,wiki,4,selected,2,boundary_part04_selected_band02,931,3.7803779874084658,13.699720903538886,-0.03630391492379045,-0.04075937069601294,-0.03180853497708789,-0.03565283055351528
qwen4b,wiki,4,selected,3,boundary_part04_selected_band03,931,3.348374302147844,13.741707777969657,-0.033243804046707494,-0.037122592583495886,-0.02956706614545248,-0.032697301474032214
qwen4b,wiki,4,selected,4,boundary_part04_selected_band04,931,3.106323289400558,13.846144614923233,-0.02567254881743379,-0.03004177684527469,-0.021354031180314995,-0.025345810972052716
qwen4b,wiki,4,rejected,1,boundary_part04_rejected_band01,931,2.9020843610180624,13.968573297858894,-0.016869333629771322,-0.020285093032539697,-0.013191539908672454,-0.016727843155089985
qwen4b,wiki,4,rejected,2,boundary_part04_rejected_band02,931,2.762231856957853,14.016063167689229,-0.0134753345348729,-0.017089912180300194,-0.009950890287030341,-0.013384948663243261
qwen4b,wiki,4,rejected,3,boundary_part04_rejected_band03,931,2.6491657560463384,14.026037493563965,-0.012763952287454243,-0.016450588951109138,-0.00914812011669156,-0.012682838525951975
qwen4b,wiki,4,rejected,4,boundary_part04_rejected_band04,931,2.557057128439612,14.041203458747841,-0.011683264186644761,-0.015619789719799486,-0.007730885469276937,-0.011615279872754231
mistral7b,c4,1,selected,1,boundary_part01_selected_band01,978,6.086076477719296,8.055160742680895,-0.0015195144850014873,-0.0024194424490433957,-0.0007250684255392831,-0.0015183606073850052
mistral7b,c4,1,selected,2,boundary_part01_selected_band02,978,4.446104284996157,8.064509035549955,-0.0003596527700073235,-0.001036079992881628,0.0003255714434362447,-0.0003595881027026606
mistral7b,c4,1,selected,3,boundary_part01_selected_band03,978,3.681040128104203,8.064135505099664,-0.0004059716592862439,-0.0011047168917784494,0.0002850204575871434,-0.0004058892639426074
mistral7b,c4,1,selected,4,boundary_part01_selected_band04,978,3.188240097404207,8.064432683128404,-0.00036912052342567527,-0.001075472346460399,0.00033337814778171276,-0.0003690524068266043
mistral7b,c4,1,rejected,1,boundary_part01_rejected_band01,978,2.8444466097334855,8.066881379145034,-6.552516523184831e-05,-0.0007292003959821562,0.0005743364370786374,-6.552301850509744e-05
mistral7b,c4,1,rejected,2,boundary_part01_rejected_band02,978,2.6104150120695118,8.064811893084235,-0.00032209910787088216,-0.0009191352945145017,0.00029061331193567564,-0.0003220472395223023
mistral7b,c4,1,rejected,3,boundary_part01_rejected_band03,978,2.4487336244750955,8.070371777534788,0.0003670637531308252,-0.0003532556435332456,0.0010783631662599977,0.00036713112927378426
mistral7b,c4,1,rejected,4,boundary_part01_rejected_band04,978,2.3227779685481327,8.065615176306917,-0.00022250060128714224,-0.000885076245357101,0.0004299213021379353,-0.0002224758498641252
mistral7b,c4,2,selected,1,boundary_part02_selected_band01,978,6.119042953943581,8.05933713230081,-0.0010011750684311965,-0.001653577888146357,-0.0003504717427594808,-0.0010006740598854094
mistral7b,c4,2,selected,2,boundary_part02_selected_band02,978,4.452889859350894,8.064877368238756,-0.00031398051941542067,-0.000960598889877616,0.00034326969530965875,-0.0003139312326906266
mistral7b,c4,2,selected,3,boundary_part02_selected_band03,978,3.684132655703226,8.0612562788844,-0.000763076315649619,-0.0018245892251729666,0.00013138299616624095,-0.0007627852469584488
mistral7b,c4,2,selected,4,boundary_part02_selected_band04,978,3.188473997918598,8.063168773470546,-0.0005258592255625299,-0.0013120005765752233,0.00020144696497800414,-0.0005257209858325828
mistral7b,c4,2,rejected,1,boundary_part02_rejected_band01,978,2.8444466097334855,8.066881379145034,-6.552516523184831e-05,-0.0007224019275526954,0.00056439332643868,-6.552301850509744e-05
