key,group,fine,shape,signal,nmse_nvfp4,nmse_nvfp4_4over6,nmse_mixfp4,nmse_mix_4_6,e0m3_mixfp4,e0m3_mix_4_6
model.decoder.layers.2.self_attn.v_proj.weight,attention,v_proj,2048x2816,8531.1083984375,0.008854560458020423,0.007552341935906674,0.008130207346619192,0.00746106894016098,0.6616654992103577,0.19948509335517883
model.decoder.layers.3.experts.down_proj,moe_experts,expert_down,128x2816x704,513400.7302246094,0.008998437174726561,0.007554655304353808,0.007599074437303583,0.007279869591224734,0.9110076767392457,0.4769115410745144
model.decoder.layers.3.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,469629.03552246094,0.008986447653628465,0.0075545397951087435,0.007684594277449095,0.007323715953842354,0.8956429585814476,0.42674568737857044
model.decoder.layers.3.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,9312.810546875,0.008701586267362308,0.007534857465428481,0.00837260381837099,0.007511229045633755,0.4001377522945404,0.061208680272102356
model.decoder.layers.3.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,7454.689453125,0.008865483203407775,0.007545655543739377,0.008145201001604485,0.00746185152009497,0.6605544090270996,0.1887052357196808
model.decoder.layers.3.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,8068.46923828125,0.008830032119509387,0.007558905939612902,0.008273112089976989,0.007511129493213751,0.5854855179786682,0.12568870186805725
model.decoder.layers.3.self_attn.k_proj.weight,attention,k_proj,2048x2816,7089.935546875,0.008909055189230332,0.0075440601647168756,0.007848344491131932,0.007355832466666409,0.8095703125,0.3896484375
model.decoder.layers.3.self_attn.o_proj.weight,attention,o_proj,2816x4096,14064.619140625,0.009040916229984788,0.007574611043856585,0.007549302900187958,0.007255995320496842,0.9189009666442871,0.49338603019714355
model.decoder.layers.3.self_attn.q_proj.weight,attention,q_proj,4096x2816,13058.15625,0.008922904830905194,0.00753483262451509,0.0077991682921324315,0.007339111607986866,0.8216885924339294,0.37553268671035767
model.decoder.layers.3.self_attn.v_proj.weight,attention,v_proj,2048x2816,8094.068359375,0.008931474069673418,0.007546700228580536,0.007880903815800682,0.007389097629605785,0.8202237486839294,0.31649503111839294
model.decoder.layers.4.experts.down_proj,moe_experts,expert_down,128x2816x704,512257.69287109375,0.00898575659408921,0.007551952315002437,0.007657576795454802,0.007304739107108143,0.8933044555597007,0.4400140249636024
model.decoder.layers.4.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,488464.67517089844,0.00899999393960474,0.007555305846674119,0.007637655335525597,0.0073067153187773536,0.9122182917781174,0.4495153322350234
model.decoder.layers.4.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,8117.16650390625,0.008713834272429843,0.007533516801986434,0.00834521152214241,0.007501229532024175,0.42458677291870117,0.07196969538927078
model.decoder.layers.4.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,6976.7841796875,0.008856897127393909,0.0075457461580518085,0.008036177103205148,0.007426605491223893,0.6986914873123169,0.24061639606952667
model.decoder.layers.4.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,7642.5322265625,0.008849185843564356,0.0075464296688531095,0.008107128155031087,0.007454151071121945,0.6667527556419373,0.20824724435806274
model.decoder.layers.4.self_attn.k_proj.weight,attention,k_proj,2048x2816,6764.01953125,0.008956165383897392,0.007546985655227655,0.007753353188169941,0.00733795280483706,0.8598189353942871,0.4008345305919647
model.decoder.layers.4.self_attn.o_proj.weight,attention,o_proj,2816x4096,14689.2421875,0.00903723421370763,0.007574651612966919,0.0075887534766487805,0.007266972226332993,0.9000799059867859,0.47465378046035767
model.decoder.layers.4.self_attn.q_proj.weight,attention,q_proj,4096x2816,13235.751953125,0.008923266358798266,0.007538833285313438,0.00785557610593939,0.007362809779051914,0.8060635924339294,0.3399769365787506
model.decoder.layers.4.self_attn.v_proj.weight,attention,v_proj,2048x2816,8202.2470703125,0.008851922068802363,0.007562812749245426,0.008161844493833328,0.007472569181064735,0.6306818127632141,0.1935369372367859
model.decoder.layers.20.experts.down_proj,moe_experts,expert_down,128x2816x704,503140.88037109375,0.00900219158200522,0.0075560489448225614,0.007601404242889711,0.007282480999031171,0.9111630390398204,0.47181283799000084
model.decoder.layers.20.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,483285.609375,0.008997917391463365,0.007554797311962848,0.0076271354832200796,0.00729271892221267,0.8969887623097748,0.45644105854444206
model.decoder.layers.20.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,6879.04638671875,0.008846752891249305,0.007547645674559299,0.008106904027792733,0.007458700443850981,0.6641701459884644,0.19266529381275177
model.decoder.layers.20.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,5467.3828125,0.008885931025167005,0.0075606415554781555,0.007992950386034009,0.007417748689404494,0.7153925895690918,0.26738980412483215
model.decoder.layers.20.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,6500.9951171875,0.008937152932115711,0.007568331025869087,0.008044500192203147,0.0074473631938334565,0.7111742496490479,0.2484504133462906
model.decoder.layers.20.self_attn.k_proj.weight,attention,k_proj,2048x2816,5928.90087890625,0.008930392270829077,0.007541917049849086,0.0077689870172994785,0.0073425676364017,0.8681640625,0.3966619372367859
model.decoder.layers.20.self_attn.o_proj.weight,attention,o_proj,2816x4096,10687.6904296875,0.00901179446615306,0.007563331805125913,0.007557718098498793,0.007261095379788098,0.9198331236839294,0.49063390493392944
model.decoder.layers.20.self_attn.q_proj.weight,attention,q_proj,4096x2816,13046.173828125,0.008916626984519078,0.007544046669199737,0.007792526761543023,0.0073383534244205635,0.8146306872367859,0.36572265625
model.decoder.layers.20.self_attn.v_proj.weight,attention,v_proj,2048x2816,6660.6796875,0.00885149688015722,0.007540041574445175,0.007960759746374772,0.007402794640149982,0.711558997631073,0.26731181144714355
model.decoder.layers.21.experts.down_proj,moe_experts,expert_down,128x2816x704,502268.5856933594,0.00900111413783678,0.007557381838097123,0.007620083745586122,0.007289874256181655,0.9051200547255576,0.46076799486763775
model.decoder.layers.21.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,528900.4187011719,0.00899693757557653,0.00755466717802601,0.007633895146307501,0.007294341021693964,0.8943365071900189,0.4533196878619492
model.decoder.layers.21.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,7171.642578125,0.008852074897035062,0.007560066369934102,0.00813893989211524,0.007479252140285864,0.6577135324478149,0.1862947642803192
model.decoder.layers.21.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,6149.2724609375,0.008863827160542842,0.007581148768909241,0.008119287574908426,0.007462580774450102,0.6113981008529663,0.2085055112838745
model.decoder.layers.21.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,7547.9541015625,0.008856771134885604,0.007563132107469105,0.00813309571822999,0.0074685181450504295,0.6422176361083984,0.1931818276643753
model.decoder.layers.21.self_attn.k_proj.weight,attention,k_proj,2048x2816,6095.294921875,0.008893333252691385,0.0075386392674565515,0.007742222845105616,0.007329723507998453,0.845703125,0.40580612421035767
model.decoder.layers.21.self_attn.o_proj.weight,attention,o_proj,2816x4096,11731.0234375,0.009034605464876453,0.007570979514954671,0.0075980481702580165,0.007285901784281262,0.9110884666442871,0.4681285619735718
model.decoder.layers.21.self_attn.q_proj.weight,attention,q_proj,4096x2816,13580.609375,0.008970805848670957,0.007549161747160186,0.007737173502633005,0.007322438450559679,0.8496981859207153,0.38698509335517883
model.decoder.layers.21.self_attn.v_proj.weight,attention,v_proj,2048x2816,7097.6416015625,0.008827116671608431,0.007547080836366613,0.008069769122734844,0.007441895647486889,0.6304154992103577,0.21413353085517883
model.decoder.layers.22.experts.down_proj,moe_experts,expert_down,128x2816x704,497288.5495605469,0.008997492687240604,0.007554570408676942,0.007610517254567367,0.007286680764784401,0.9093592260032892,0.4673779495060444
model.decoder.layers.22.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,467943.37158203125,0.009016842884726036,0.00755795989405832,0.007569959526674821,0.007269462770649003,0.9170718495734036,0.4901072394568473
model.decoder.layers.22.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,7275.443359375,0.008820312535654105,0.007554341216855609,0.008253510855424672,0.00750012915174843,0.5528581142425537,0.12827135622501373
model.decoder.layers.22.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,6630.1025390625,0.008879788608051728,0.0076060434917092894,0.008141809724232148,0.00749085062175727,0.6144111752510071,0.22193527221679688
model.decoder.layers.22.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,7859.322265625,0.008888149069340177,0.0075763615259719684,0.008160174114612598,0.007483301096329424,0.6219869256019592,0.1930096447467804
model.decoder.layers.22.self_attn.k_proj.weight,attention,k_proj,2048x2816,4993.4326171875,0.008894855792031526,0.007525988572636911,0.007867013435616117,0.00736307240711677,0.830078125,0.3562677800655365
