model,module,U,draws,all_empty,source_sha256,interpretation,K_mean,K_sample_sd,K_min,K_max,K_range,density_mean,density_sample_sd,density_min,density_max,density_range,density_ratio_denominator_zero
mistral7b,model.layers.31.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,33.8,9.257429448826494,25.0,48.0,23.0,0.008251953125,0.002260114611529906,0.006103515625,0.01171875,0.005615234375,False
mistral7b,model.layers.4.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,0.7071067811865476,0.0,2.0,2.0,1.743861607142857e-05,1.2330963678615853e-05,0.0,3.487723214285714e-05,3.487723214285714e-05,True
mistral7b,model.layers.4.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.6,0.5477225575051662,0.0,1.0,1.0,1.0463169642857143e-05,9.551523393993548e-06,0.0,1.743861607142857e-05,1.743861607142857e-05,True
mistral7b,model.layers.4.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.0,2.1213203435596424,0.0,5.0,5.0,5.231584821428571e-05,3.6992891035847564e-05,0.0,8.719308035714286e-05,8.719308035714286e-05,False
mistral7b,model.layers.4.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.6,0.5477225575051662,0.0,1.0,1.0,0.000146484375,0.0001337213275159097,0.0,0.000244140625,0.000244140625,True
mistral7b,model.layers.4.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.6,0.8944271909999159,1.0,3.0,2.0,9.765625e-05,5.459150335692846e-05,6.103515625e-05,0.00018310546875,0.0001220703125,False
mistral7b,model.layers.4.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.2,1.6431676725154982,0.0,3.0,3.0,7.32421875e-05,0.00010029099563693226,0.0,0.00018310546875,0.00018310546875,True
mistral7b,model.layers.4.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.6,0.5477225575051662,0.0,1.0,1.0,0.000146484375,0.0001337213275159097,0.0,0.000244140625,0.000244140625,False
mistral7b,model.layers.5.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.2,1.3038404810405297,0.0,3.0,3.0,2.0926339285714286e-05,2.2737173567252543e-05,0.0,5.231584821428571e-05,5.231584821428571e-05,False
mistral7b,model.layers.5.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.6,0.5477225575051662,0.0,1.0,1.0,1.0463169642857143e-05,9.551523393993548e-06,0.0,1.743861607142857e-05,1.743861607142857e-05,True
mistral7b,model.layers.5.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.4,1.140175425099138,1.0,4.0,3.0,4.185267857142857e-05,1.988308149238173e-05,1.743861607142857e-05,6.975446428571428e-05,5.231584821428571e-05,False
mistral7b,model.layers.5.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,0.7071067811865476,0.0,2.0,2.0,0.000244140625,0.00017263349150062197,0.0,0.00048828125,0.00048828125,False
