model,module,frequency,tiles,U
llama8b,model.layers.13.self_attn.k_proj,0,4095,4096
llama8b,model.layers.13.self_attn.k_proj,1,1,4096
llama8b,model.layers.13.self_attn.k_proj,2,0,4096
llama8b,model.layers.13.self_attn.k_proj,3,0,4096
llama8b,model.layers.13.self_attn.k_proj,4,0,4096
llama8b,model.layers.13.self_attn.k_proj,5,0,4096
llama8b,model.layers.13.self_attn.o_proj,0,16353,16384
llama8b,model.layers.13.self_attn.o_proj,1,30,16384
llama8b,model.layers.13.self_attn.o_proj,2,1,16384
llama8b,model.layers.13.self_attn.o_proj,3,0,16384
llama8b,model.layers.13.self_attn.o_proj,4,0,16384
llama8b,model.layers.13.self_attn.o_proj,5,0,16384
llama8b,model.layers.13.self_attn.q_proj,0,16382,16384
llama8b,model.layers.13.self_attn.q_proj,1,1,16384
llama8b,model.layers.13.self_attn.q_proj,2,1,16384
llama8b,model.layers.13.self_attn.q_proj,3,0,16384
llama8b,model.layers.13.self_attn.q_proj,4,0,16384
llama8b,model.layers.13.self_attn.q_proj,5,0,16384
llama8b,model.layers.13.self_attn.v_proj,0,4084,4096
llama8b,model.layers.13.self_attn.v_proj,1,9,4096
llama8b,model.layers.13.self_attn.v_proj,2,2,4096
llama8b,model.layers.13.self_attn.v_proj,3,0,4096
llama8b,model.layers.13.self_attn.v_proj,4,0,4096
llama8b,model.layers.13.self_attn.v_proj,5,1,4096
llama8b,model.layers.14.mlp.down_proj,0,57295,57344
llama8b,model.layers.14.mlp.down_proj,1,48,57344
llama8b,model.layers.14.mlp.down_proj,2,1,57344
llama8b,model.layers.14.mlp.down_proj,3,0,57344
llama8b,model.layers.14.mlp.down_proj,4,0,57344
llama8b,model.layers.14.mlp.down_proj,5,0,57344
llama8b,model.layers.14.mlp.gate_proj,0,57310,57344
llama8b,model.layers.14.mlp.gate_proj,1,33,57344
llama8b,model.layers.14.mlp.gate_proj,2,1,57344
llama8b,model.layers.14.mlp.gate_proj,3,0,57344
llama8b,model.layers.14.mlp.gate_proj,4,0,57344
llama8b,model.layers.14.mlp.gate_proj,5,0,57344
llama8b,model.layers.14.mlp.up_proj,0,57294,57344
llama8b,model.layers.14.mlp.up_proj,1,49,57344
llama8b,model.layers.14.mlp.up_proj,2,1,57344
llama8b,model.layers.14.mlp.up_proj,3,0,57344
llama8b,model.layers.14.mlp.up_proj,4,0,57344
llama8b,model.layers.14.mlp.up_proj,5,0,57344
llama8b,model.layers.14.self_attn.k_proj,0,4090,4096
llama8b,model.layers.14.self_attn.k_proj,1,6,4096
llama8b,model.layers.14.self_attn.k_proj,2,0,4096
llama8b,model.layers.14.self_attn.k_proj,3,0,4096
llama8b,model.layers.14.self_attn.k_proj,4,0,4096
llama8b,model.layers.14.self_attn.k_proj,5,0,4096
llama8b,model.layers.14.self_attn.o_proj,0,16359,16384
llama8b,model.layers.14.self_attn.o_proj,1,24,16384
llama8b,model.layers.14.self_attn.o_proj,2,1,16384
llama8b,model.layers.14.self_attn.o_proj,3,0,16384
llama8b,model.layers.14.self_attn.o_proj,4,0,16384
llama8b,model.layers.14.self_attn.o_proj,5,0,16384
llama8b,model.layers.14.self_attn.q_proj,0,16359,16384
llama8b,model.layers.14.self_attn.q_proj,1,21,16384
llama8b,model.layers.14.self_attn.q_proj,2,3,16384
llama8b,model.layers.14.self_attn.q_proj,3,1,16384
llama8b,model.layers.14.self_attn.q_proj,4,0,16384
llama8b,model.layers.14.self_attn.q_proj,5,0,16384
llama8b,model.layers.14.self_attn.v_proj,0,4081,4096
llama8b,model.layers.14.self_attn.v_proj,1,14,4096
llama8b,model.layers.14.self_attn.v_proj,2,1,4096
