model,draw,corpus,contrast,role,status,delta_nll,ci_low,ci_high
mistral7b,draw3,wiki,kl_matched-minus-joint,primary,validated_new,-0.0010548737103315275,-0.0019745005042517694,-9.468127092552336e-05
mistral7b,draw3,wiki,ce_natural-minus-joint,secondary,validated_new,-0.0008313033715388052,-0.0016917747551385698,-2.0605283989945607e-05
mistral7b,draw3,wiki,kl_natural-minus-joint,secondary,validated_new,-0.0017517369141981654,-0.002612299719909744,-0.0008526045844233175
mistral7b,draw3,wiki,ce_natural-minus-kl_natural,secondary,validated_new,0.0009204335426593602,6.447054664564524e-05,0.0017604087677903606
mistral7b,draw4,wiki,ce_matched-minus-joint,primary,validated_new,-0.00031211457845126134,-0.0011013629130722958,0.0004759047938401201
mistral7b,draw4,wiki,kl_matched-minus-joint,primary,validated_new,-0.0014108163785182537,-0.002310181386029142,-0.0003942859010267809
mistral7b,draw4,wiki,ce_natural-minus-joint,secondary,validated_new,-0.0006220309422981796,-0.0016562568442722802,0.00048455064649878185
mistral7b,draw4,wiki,kl_natural-minus-joint,secondary,validated_new,-0.0027714530722176,-0.0037206245571642037,-0.0017236947072420744
mistral7b,draw4,wiki,ce_natural-minus-kl_natural,secondary,validated_new,0.0021494221299194205,0.0011757519853736187,0.0030279294368135666
mistral7b,seed0,c4,ce_matched-minus-joint,primary,validated_reuse,0.0004715752561677,-0.000384141981951025,0.0016364929116049472
mistral7b,seed0,c4,kl_matched-minus-joint,primary,validated_reuse,-0.000724397409924471,-0.001401275237207822,-7.102144333825396e-05
mistral7b,seed0,c4,ce_natural-minus-joint,secondary,validated_reuse,8.513300003176738e-06,-0.0008057554406400436,0.001000380560414182
mistral7b,seed0,c4,kl_natural-minus-joint,secondary,validated_reuse,-0.0008293532350216459,-0.001747610569347613,0.00035441701428504265
mistral7b,seed0,c4,ce_natural-minus-kl_natural,secondary,validated_reuse,0.0008378665350248227,0.00013262382361770575,0.0014666199271420872
mistral7b,draw1,c4,ce_matched-minus-joint,primary,validated_new,-0.00023761205162919907,-0.0011098675729319107,0.0005476523673299091
