model,draw,N,module,objective,backend_status,exact_parent_SE,eligible_weights,eligible_parents,ownership_regret,sum_abs_child_mean,weighted_cancellation,unweighted_cancellation_mean,zero_score_parents,minority_sign_fraction,mean_favorable_parents,selector_gap,threshold_increment,veto_increment,total_surrogate_gap,selected_tiles,selected_weights,mean_favorable_threshold_fail,mean_favorable_threshold_fail_fraction
llama8b,seed0,8,model.layers.3.self_attn.q_proj,kl,analytical_only,True,16777216,32768,0.0,0.010836295705680753,0.0,0.0,0,0.0,16485,0.005464977687639622,0.005380101796705852,8.487589093376935e-05,0.005464977687639622,8,4096,16413,0.9956323930846224
llama8b,seed0,8,model.layers.3.self_attn.k_proj,ce,analytical_only,True,4194304,8192,0.0,0.006822582756869006,0.0,0.0,0,0.0,4088,0.0034984665365146717,0.003420210143778274,7.825639273639773e-05,0.0034984665365146717,1,512,4069,0.9953522504892368
llama8b,seed0,8,model.layers.3.self_attn.k_proj,kl,analytical_only,True,4194304,8192,0.0,0.0044155105489895735,0.0,0.0,0,0.0,4145,0.0022657696760073343,0.00224217276496419,2.359691104314443e-05,0.0022657696760073343,1,512,4133,0.9971049457177322
llama8b,seed0,8,model.layers.3.self_attn.v_proj,ce,analytical_only,True,4194304,8192,0.0,0.013764853019811896,0.0,0.0,0,0.0,4204,0.0068531726235978585,0.006727110714564555,0.00012606190903330372,0.0068531726235978585,4,2048,4179,0.9940532825880114
llama8b,seed0,8,model.layers.3.self_attn.v_proj,kl,analytical_only,True,4194304,8192,0.0,0.010239394327471896,0.0,0.0,0,0.0,4248,0.005276364625722951,0.005022939710856933,0.00025342491486601837,0.005276364625722951,4,2048,4209,0.990819209039548
llama8b,seed0,8,model.layers.3.self_attn.o_proj,ce,analytical_only,True,16777216,32768,0.0,0.024785841307582435,0.0,0.0,0,0.0,16499,0.01240065696489942,0.012271816519969087,0.00012884044493033375,0.01240065696489942,5,2560,16446,0.9967876841020668
llama8b,seed0,8,model.layers.3.self_attn.o_proj,kl,analytical_only,True,16777216,32768,0.0,0.017551418453837453,0.0,0.0,0,0.0,16434,0.00881205810535425,0.00869277430943434,0.00011928379591991112,0.00881205810535425,5,2560,16362,0.9956188389923329
llama8b,seed0,8,model.layers.3.mlp.gate_proj,ce,analytical_only,True,58720256,114688,0.0,0.05949323697136791,0.0,0.0,0,0.0,57677,0.03006118603534494,0.029806801688889967,0.0002543843464549722,0.03006118603534494,10,5120,57539,0.9976073651542209
llama8b,seed0,8,model.layers.3.mlp.gate_proj,kl,analytical_only,True,58720256,114688,0.0,0.04284956802860407,0.0,0.0,0,0.0,57874,0.021770569655953295,0.021568675901056475,0.00020189375489682027,0.021770569655953295,10,5120,57730,0.9975118360576425
llama8b,seed0,8,model.layers.3.mlp.up_proj,ce,analytical_only,True,58720256,114688,0.0,0.0682494430936808,0.0,0.0,0,0.0,57794,0.034399653715240314,0.03405906637667641,0.00034058733856390244,0.034399653715240314,7,3584,57635,0.9972488493615255
llama8b,seed0,8,model.layers.3.mlp.up_proj,kl,analytical_only,True,58720256,114688,0.0,0.04881083586099488,0.0,0.0,0,0.0,58067,0.024776495679980873,0.024630062900718522,0.000146432779262351,0.024776495679980873,7,3584,57969,0.9983122944185165
llama8b,seed0,8,model.layers.3.mlp.down_proj,ce,analytical_only,True,58720256,114688,0.0,0.07434720666950143,0.0,0.0,0,0.0,57646,0.037518524589436025,0.03714071716016096,0.0003778074292750677,0.037518524589436025,17,8704,57473,0.9969989244700412
llama8b,seed0,8,model.layers.3.mlp.down_proj,kl,analytical_only,True,58720256,114688,0.0,0.053932553428256064,0.0,0.0,0,0.0,57912,0.02728734561631728,0.02703792847421148,0.0002494171421058011,0.02728734561631728,17,8704,57752,0.9972371874568311
llama8b,seed0,8,model.layers.4.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.013827338272939381,0.0,0.0,0,0.0,16428,0.006948454080491211,0.00688121399174612,6.72400887450908e-05,0.006948454080491211,2,1024,16383,0.9972607742878014
llama8b,seed0,8,model.layers.4.self_attn.q_proj,kl,analytical_only,True,16777216,32768,0.0,0.011089084503012603,0.0,0.0,0,0.0,16520,0.005697898309663323,0.0053466383189026065,0.0003512599907607161,0.005697898309663323,2,1024,16378,0.9914043583535109
llama8b,seed0,8,model.layers.4.self_attn.k_proj,ce,analytical_only,True,4194304,8192,0.0,0.005330542781844548,0.0,0.0,0,0.0,4055,0.0026556776727876263,0.002633121996686083,2.2555676101543298e-05,0.0026556776727876263,0,0,4046,0.9977805178791616
llama8b,seed0,8,model.layers.4.self_attn.k_proj,kl,analytical_only,True,4194304,8192,0.0,0.0043224940273916684,0.0,0.0,0,0.0,4159,0.0022354375406770724,0.002155014542049534,8.042299862753843e-05,0.0022354375406770724,0,0,4125,0.9918249579225775
llama8b,seed0,8,model.layers.4.self_attn.v_proj,ce,analytical_only,True,4194304,8192,0.0,0.01283248313371077,0.0,0.0,0,0.0,4080,0.006294353602426028,0.006194996208976455,9.935739344957284e-05,0.006294353602426028,6,3072,4057,0.9943627450980392
llama8b,seed0,8,model.layers.4.self_attn.v_proj,kl,analytical_only,True,4194304,8192,0.0,0.009906676587119967,0.0,0.0,0,0.0,4174,0.005050519099410455,0.00482644371020069,0.00022407538920976577,0.005050519099410455,6,3072,4130,0.9894585529468136
llama8b,seed0,8,model.layers.4.self_attn.o_proj,ce,analytical_only,True,16777216,32768,0.0,0.025335931369742604,0.0,0.0,0,0.0,16683,0.01279490710342937,0.012632497866607056,0.000162409236822314,0.01279490710342937,15,7680,16602,0.9951447581370257
llama8b,seed0,8,model.layers.4.self_attn.o_proj,kl,analytical_only,True,16777216,32768,0.0,0.0182082053818311,0.0,0.0,0,0.0,16613,0.00922159429626343,0.009068742770993898,0.00015285152526953172,0.00922159429626343,15,7680,16515,0.9941010052368627
llama8b,seed0,8,model.layers.4.mlp.gate_proj,ce,analytical_only,True,58720256,114688,0.0,0.059365372246478726,0.0,0.0,0,0.0,57693,0.029860560747899084,0.029559611575543626,0.00030094917235545804,0.029860560747899084,9,4608,57528,0.9971400343195882
llama8b,seed0,8,model.layers.4.mlp.gate_proj,kl,analytical_only,True,58720256,114688,0.0,0.04312123891902986,0.0,0.0,0,0.0,57885,0.021821207354031327,0.021709810798114085,0.00011139655591724251,0.021821207354031327,9,4608,57793,0.9984106417897556
llama8b,seed0,8,model.layers.4.mlp.up_proj,ce,analytical_only,True,58720256,114688,0.0,0.07064313200683578,0.0,0.0,0,0.0,58016,0.035794738259825015,0.03538278911017642,0.00041194914964859386,0.035794738259825015,18,9216,57822,0.9966560948703805
llama8b,seed0,8,model.layers.4.mlp.up_proj,kl,analytical_only,True,58720256,114688,0.0,0.050767771964040864,0.0,0.0,0,0.0,57859,0.02579304601997047,0.025646201963123574,0.0001468440568468954,0.02579304601997047,18,9216,57751,0.9981333932491055
llama8b,seed0,8,model.layers.4.mlp.down_proj,ce,analytical_only,True,58720256,114688,0.0,0.07560899133242896,0.0,0.0,0,0.0,57901,0.0383696130771132,0.037957527082266435,0.000412085994846767,0.0383696130771132,18,9216,57714,0.9967703493894752
llama8b,seed0,8,model.layers.4.mlp.down_proj,kl,analytical_only,True,58720256,114688,0.0,0.05462504122382317,0.0,0.0,0,0.0,58050,0.027767270125434396,0.027549113766672684,0.0002181563587617119,0.027767270125434396,18,9216,57901,0.997433247200689
llama8b,seed0,8,model.layers.5.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.014380123015441901,0.0,0.0,0,0.0,16584,0.007329803433411749,0.007234253622227657,9.554981118409245e-05,0.007329803433411749,5,2560,16527,0.9965629522431259
llama8b,seed0,8,model.layers.5.self_attn.q_proj,kl,analytical_only,True,16777216,32768,0.0,0.010156123644433869,0.0,0.0,0,0.0,16586,0.005146131813762271,0.005040997994069451,0.00010513381969282,0.005146131813762271,5,2560,16498,0.9946943205112746
llama8b,seed0,8,model.layers.5.self_attn.k_proj,ce,analytical_only,True,4194304,8192,0.0,0.0078123982696541305,0.0,0.0,0,0.0,4144,0.0039468692635369895,0.003914992803744466,3.1876459792523626e-05,0.0039468692635369895,5,2560,4127,0.9958976833976834
llama8b,seed0,8,model.layers.5.self_attn.k_proj,kl,analytical_only,True,4194304,8192,0.0,0.0054361963087262745,0.0,0.0,0,0.0,4103,0.0027303861370212186,0.0027005175262700028,2.986861075121583e-05,0.0027303861370212186,5,2560,4081,0.9946380697050938
llama8b,seed0,8,model.layers.5.self_attn.v_proj,ce,analytical_only,True,4194304,8192,0.0,0.011532229832383167,0.0,0.0,0,0.0,4121,0.005764102233781099,0.005684567063475754,7.953517030534485e-05,0.005764102233781099,7,3584,4097,0.9941761708323222
llama8b,seed0,8,model.layers.5.self_attn.v_proj,kl,analytical_only,True,4194304,8192,0.0,0.00813152843243145,0.0,0.0,0,0.0,4174,0.004064983263691979,0.003903982971544817,0.00016100029214716205,0.004064983263691979,7,3584,4135,0.990656444657403
llama8b,seed0,8,model.layers.5.self_attn.o_proj,ce,analytical_only,True,16777216,32768,0.0,0.023349103240467364,0.0,0.0,0,0.0,16466,0.011810455448893392,0.011662331485503247,0.00014812396339014544,0.011810455448893392,12,6144,16394,0.9956273533341431
llama8b,seed0,8,model.layers.5.self_attn.o_proj,kl,analytical_only,True,16777216,32768,0.0,0.01624988450820425,0.0,0.0,0,0.0,16632,0.008269443098649222,0.008122205484288388,0.0001472376143608345,0.008269443098649222,12,6144,16531,0.9939273689273689
llama8b,seed0,8,model.layers.5.mlp.gate_proj,ce,analytical_only,True,58720256,114688,0.0,0.05774173071410771,0.0,0.0,0,0.0,57527,0.028999399963654665,0.02874155304271056,0.0002578469209441048,0.028999399963654665,17,8704,57368,0.9972360804491804
