model,draw,policy,task,metric,value,status,source,source_sha256,map_hash,num_fewshot,lm_eval_version,paired_ci,reason
qwen4b,seed0,joint,arc_challenge,acc_norm,0.5051194539249146,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,joint,hellaswag,acc_norm,0.6701852220673172,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,joint,openbookqa,acc_norm,0.38,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,joint,boolq,acc,0.8397553516819571,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,joint,winogrande,acc,0.6503551696921863,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,joint,piqa,acc_norm,0.7372143634385201,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,joint,mmlu,acc,0.6615866685657313,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,ce_matched,arc_easy,,,coverage_gap,,,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
qwen4b,seed0,ce_matched,arc_challenge,,,coverage_gap,,,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
qwen4b,seed0,ce_matched,hellaswag,,,coverage_gap,,,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
