model,draw_a,draw_b,ranking,scope,U,K_a,K_b,intersection,jaccard,containment_a_to_b,containment_b_to_a,overlap_coefficient,empty_a,empty_b,expected_intersection_module,expected_intersection_global,null_intersection_mean,null_jaccard_lo,null_jaccard_median,null_jaccard_hi,null_containment_a_lo,null_containment_a_median,null_containment_a_hi,null_containment_b_lo,null_containment_b_median,null_containment_b_hi,allocation_share_L1,allocation_spearman
qwen4b,draw2,draw3,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,108309,0.4393749467560759,0.6105079816017316,0.6105079816017316,0.6105079816017316,False,False,41588.386883223684,8870.4,41595.926,0.13183577607062286,0.13279760935569454,0.13373879922277307,0.2329591957521645,0.23445955086580086,0.2359252401244589,0.2329591957521645,0.23445955086580086,0.2359252401244589,0.059907106782106784,0.992400769921631
qwen4b,draw2,draw4,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,101726,0.40193607017266586,0.573401424963925,0.573401424963925,0.573401424963925,False,False,39215.15693359375,8870.4,39218.636,0.12330458266577214,0.12427280448282735,0.1251500119164372,0.21953900049603173,0.22107233044733043,0.22245924648268398,0.21953900049603173,0.22107233044733043,0.22245924648268398,0.3467374639249639,0.9157942990316681
qwen4b,draw3,draw4,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,102447,0.4059413002389358,0.5774655032467533,0.5774655032467533,0.5774655032467533,False,False,39732.759292763156,8870.4,39730.227,0.125149833518313,0.12609791976721638,0.12703444888379636,0.22245896464646464,0.22395551497113997,0.22543135033369407,0.22245896464646464,0.22395551497113997,0.22543135033369407,0.30348124098124096,0.9375271963142482
mistral7b,seed0,draw1,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1893,0.47336834208552137,0.6425661914460286,0.6425661914460286,0.6425661914460286,False,False,21.5911865234375,1.2733629666841948,21.339,0.002206999316140813,0.0035769034236075624,0.00511770726714432,0.004404276985743381,0.007128309572301426,0.010183299389002037,0.004404276985743381,0.007128309572301426,0.010183299389002037,0.0,1.0
mistral7b,seed0,draw2,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1965,0.5003819709702063,0.6670061099796334,0.6670061099796334,0.6670061099796334,False,False,21.5911865234375,1.2733629666841948,21.521,0.0023817625042531474,0.0035769034236075624,0.005289199795256782,0.0047522063815342835,0.007128309572301426,0.010522742701968771,0.0047522063815342835,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,seed0,draw3,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1899,0.4755822689706987,0.6446028513238289,0.6446028513238289,0.6446028513238289,False,False,21.5911865234375,1.2733629666841948,21.498,0.00221126041843851,0.0035769034236075624,0.005289199795256782,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,seed0,draw4,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1820,0.44695481335952847,0.6177868295994569,0.6177868295994569,0.6177868295994569,False,False,21.5911865234375,1.2733629666841948,21.391,0.0020408163265306124,0.0035769034236075624,0.005289199795256782,0.004073319755600814,0.007128309572301426,0.010522742701968771,0.004073319755600814,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,draw1,draw2,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1954,0.49619095987811074,0.6632722335369993,0.6632722335369993,0.6632722335369993,False,False,21.5911865234375,1.2733629666841948,21.52,0.00221126041843851,0.0035769034236075624,0.005289199795256782,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,draw1,draw3,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1863,0.462397617274758,0.6323828920570265,0.6323828920570265,0.6323828920570265,False,False,21.5911865234375,1.2733629666841948,21.716,0.00221126041843851,0.0035769034236075624,0.005293488571706416,0.004412763068567549,0.007128309572301426,0.010531228784792932,0.004412763068567549,0.007128309572301426,0.010531228784792932,0.0,1.0
mistral7b,draw1,draw4,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1780,0.43287937743190663,0.6042090970807875,0.6042090970807875,0.6042090970807875,False,False,21.5911865234375,1.2733629666841948,21.507,0.00221126041843851,0.0035769034236075624,0.005289199795256782,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.0,1.0
